question,operation,answer,equation
Megan had 49 black markers . Robert gave her 39 more black markers . John had 12 markers . How many black markers does Megan have altogether ?,Addition,88,X=49.0+39.0
Josh had 16 white marbles in his collection . He lost 7 white marbles . Jack lost 4 white marbles . How many white marbles does Josh have now ?,Subtraction,9,X=16.0-7.0
Tom has 9 yellow balloons and 8 red balloons . Sara has 8 yellow balloons . How many yellow balloons do they have in total ?,Addition,17,X = 9 + 8
Kyle jogged 1.125 laps in P.E. class and 2.125 laps during track practice . Linda jogged 0.5 laps . How many laps did Kyle jog in all ?,Addition,3.25,X = 1.125 + 2.125
Kim had 4 balloons . James had 39 small stickers . He got some more small stickers for his birthday . Then he had 61 small stickers . How many small stickers did James get for his birthday ?,Subtraction,22,X=61.0-39.0
There are 8 blue marbles and 9 white marbles in each box . How many blue marbles are in 6 boxes ?,Multiplication,48,X=8.0*6.0
Sam had 98 pennies in his bank . He spent 93 of his pennies . Kight spent 5 hours . How many pennies does he have now ?,Subtraction,5,X = 98 - 93
"Rosa had 67 red flowers . Andre gave her some more red flowers . Now , Rosa has 90 red flowers . Paul read 10 books . How many red flowers did Andre give to Rosa ?",Subtraction,23,X=90.0-67.0
Cathy bought 2 tickets . Third-grade excellent students went to a concert in 8 buses . Each bus took 45 excellent students . How many excellent students went to the concert ?,Multiplication,360,X=8.0*45.0
There are 38 heavy books and 22 thin books on the shelf . Marta put 10 more heavy books on the shelf . How many heavy books are on the shelf now ?,Addition,48,X=38.0+10.0
Mrs. Snyder made 86 heart cookies . She made 36 red cookies and the rest are pink . Adam made 14 heart cookies . How many pink cookies did Mrs. Snyder make ?,Subtraction,50,X=86.0-36.0
Mrs. Sheridan has 17 Persian cats . Mr. Sheridan gave her 14 more Persian cats . Zack has 9 Persian cats . How many Persian cats does Mrs. Sheridan have altogether ?,Addition,31,X=17.0+14.0
"Joshua has 40 blue Skittles and 6 eggs . Esther has 5 breads . If Joshua shares the blue Skittles among 5 friends , how many blue Skittles does each friend get ?",CommonDiv,8,X=40.0/5.0
Mrs. Hilt bought 2 pizzas . Each pizza had 8 big slices and 2 small slices . How many total big slices of pizza did Mrs. Hilt have ?,Multiplication,16,X=2.0*8.0
Virginia starts with 96 big eggs . Amy takes 3 big eggs away . Albert breaks 2 cups . How many big eggs does Virginia end with ?,Subtraction,93,X=96.0-3.0
Kate has 223 pennies . John has 388 pennies . Ernie has 444 tickets . How many more pennies does John have?,Subtraction,165,X=388.0-223.0
"There were 10 graduated students riding on the school bus . At the first stop, 3 graduated students got off of the bus . Bob teached 17 students.  How many graduated students are left on the bus ?",Subtraction,7,X=10.0-3.0
Kitty ate 5 hamburgers . Mrs. Hilt bought 2 pizzas . Each pizza had 8 big slices . How many total big slices of pizza did Mrs. Hilt have ?,Multiplication,16,X=2.0*8.0
Marlee has 12 handsome guests and 8 ugly guests coming to her Halloween party . Each table will hold 3 handsome guests . How many tables will Marlee need ?,CommonDiv,4,X=12.0/3.0
Marie starts with 95 white erasers . She loses 42 white erasers . How many white erasers does Marie end with ?,Subtraction,53,X=95.0-42.0
Iesha has 58 heavy books . 19 heavy books are about school and the rest are about sports . Hannah has 2 books . How many heavy books about sports does Iesha have ?,Subtraction,39,X=58.0-19.0
Joan has 8 orange balloons but lost 2 of them . Mark has 7 flowers . How many orange balloons does Joan have now ?,Subtraction,6,X = 8 - 2
1 pineapple and apple can be involved in 1 popular song . It takes 4 apples to make 1 pie . How many apples does it take to make 504 pies ?,Multiplication,2016,X=4.0*504.0
Mrs. Franklin had 58 pink Valentines . Mrs. Franklin gave some pink Valentines to her students . Now she has 16 Valentines . Luther received 4 cakes . How many pink Valentines did Mrs. Franklin give to her students ?,Subtraction,42,X=58.0-16.0
Joyce starts with 75 apples . She gives 52 to Larry . Cathy bought 25 bananas . How many apples does Joyce end with ?,Subtraction,23,X=75.0-52.0
Sarah has 7 black boxes of apples and 3 brown boxes of bananas . Each black box holds 7 apples . How many apples does Sarah have ?,Multiplication,49,X=7.0*7.0
It takes 4 apples to make 1 pie . 1 pineapple and apple can be involved in 1 popular song . How many apples does it take to make 504 pies ?,Multiplication,2016,X=4.0*504.0
Each child eats 1 cake . 58 children are taking a bus to the zoo . They sit 2 children in every seat . How many seats will the children need in all ?,CommonDiv,29,X=58.0/2.0
The Ferris wheel in Paradise Park has 14 seats . Each seat can hold 6 people . Amy's class has 16 seats . How many people can ride the Ferris wheel at the same time ?,Multiplication,84,X=14.0*6.0
Melissa scored 120 points and found out 2 key points in each game . How many points did Melissa score in 10 games ?,Multiplication,1200,X=120.0*10.0
"Linda had 7 bikes . There were 10 graduated students riding on the school bus . At the first stop, 3 graduated students got off of the bus . How many graduated students are left on the bus ?",Subtraction,7,X=10.0-3.0
Carla has some yellow marbles . She bought 134 yellow marbles . Now she has 187 yellow marbles . Eric has 17 marbles . How many yellow marbles did Carla start with ?,Subtraction,53,X=187.0-134.0
Kyle jogged 1.125 laps in P.E. class and 2.125 laps during track practice . Tonny ran 2.5 miles . How many laps did Kyle jog in all ?,Addition,3.25,X = 1.125 + 2.125
Linda has 34 candies . Chloe has 28 candies . Daniel has 30 cakes . How many candies do they have in all ?,Addition,62,X=34.0+28.0
"Sandy spent 20 cents for each cookie . Sue made 75 cookies . She put the cookies in bags , with 3 cookies in each bag . How many bags could she fill up ?",CommonDiv,25,X=75.0/3.0
On the first day of the week Pat had 39 small stickers . Pat earned 22 more small stickers during the week . Michel bought 8 stickers . How many small stickers did Pat have at the end of the week ?,Addition,61,X=39.0+22.0
2 yellow toucans are sitting on a tree limb . 3 more yellow toucan joins them . 3 boys are standing in the corner . How many yellow toucans in all ?,Addition,5,X=2.0+3.0
Judy costs $3.50 for toy . Each banana costs $5.00 . How much do 4 bananas cost ?,Multiplication,20,X=5.0*4.0
Jerry had 15 toys . Connie had some marbles . She gave 73 purple marbles to Juan . Now she has 70 purple marbles left . How many purple marbles did Connie have to start with ?,Addition,143,X=73.0+70.0
"Ellen had 2080 new Legos , but she lost 17 new Legos . Ran bought 133 Legos . How many new Legos does Ellen have now ?",Subtraction,2063,X=2080.0-17.0
Ronald went to the store 2 times last month . He buys 10 big bananas each time he goes to the store . Gordon had 3 apples . How many big bananas did Ronald buy last month ?,Multiplication,20,X=2.0*10.0
Hayley had 25 handmade meatballs on her plate . Kirsten stole some of her handmade meatballs . Now she has 11 handmade meatballs on her plate . Cathy has 16 meatballs . How many handmade meatballs did Kirsten steal ?,Subtraction,14,X=25.0-11.0
The clown blew up 47 blue balloons and 8 green balloons . Then he blew up 13 more blue balloons . How many blue balloons does the clown have now ?,Addition,60,X=47.0+13.0
"Mrs. Hilt went to a concert . A total of 65899 young people attended the concert . The next week , she went to a second concert , which had 119 more young people in attendance . Joe's class had 45 people . How many young people were at the second concert ?",Addition,66018,X=65899.0+119.0
Mrs. Hilt read 4 books . Each book had 17 chapters in it . Luke had 100 dollars to buy books. How many chapters did Mrs. Hilt read ?,Multiplication,68,X=4.0*17.0
"Ryan has 72 black marbles and 17 blocks . Benson has 9 marbles . If Ryan shares the black marbles among 9 friends , how many black marbles does each friend get ?",CommonDiv,8,X=72.0/9.0
"Ryan has 72 black marbles and 17 blocks . Erin roasts 27 chickens . If Ryan shares the black marbles among 9 friends , how many black marbles does each friend get ?",CommonDiv,8,X=72.0/9.0
Vivian got 12 tickets . Mikey had 356 green leaves . Some of her green leaves blew away . Now she has 112 green leaves left . How many of her green leaves blew away ?,Subtraction,244,X=356.0-112.0
A bee has 6 legs . A person has 1 heart . How many legs do 2 bees have ?,Multiplication,12,X=6.0*2.0
"Joshua has 40 blue Skittles and 6 eggs . Fanny has 10 Skittles . If Joshua shares the blue Skittles among 5 friends , how many blue Skittles does each friend get ?",CommonDiv,8,X=40.0/5.0
Daniel has 30 cakes . Linda has 34 candies . Chloe has 28 candies . How many candies do they have in all ?,Addition,62,X=34.0+28.0
You have collected 7 big crickets . Dick feeds 3 snakes . How many more big crickets do you need to collect to have 11 big crickets ?,Subtraction,4,X=11.0-7.0
Tom has 9 yellow balloons . Bob has 9 yellow toys . Sara has 8 yellow balloons . How many yellow balloons do they have in total ?,Addition,17,X = 9 + 8
Emily collected white eggs from the hen and put them into 303 baskets . She put 28 white eggs into each basket . Tom had 30 eggs . How many white eggs did Emily collect ?,Multiplication,8484,X=303.0*28.0
There are 8 blue marbles in each box . Kelly buys 12 pearls . How many blue marbles are in 6 boxes ?,Multiplication,48,X=8.0*6.0
Mrs. Hilt has 50 cents . A pencil costs 5 cents . Tom has 25 cents . How many pencils can she buy with the money Mrs. Hilt has ?,CommonDiv,10,X=50.0/5.0
Joan has 8 orange balloons but lost 2 of them and also has 4 blue balloons . How many orange balloons does Joan have now ?,Subtraction,6,X = 8 - 2
Hank has 17 cups . There are 3 eggs in each box . How many eggs are in 2 boxes ?,Multiplication,6,X=3.0*2.0
There are 64 pink pigs in the barn . Some more come to join them . Now there are 86 pink pigs . Vicky feeds 8 pigs . How many pink pigs came to join them ?,Subtraction,22,X=86.0-64.0
58 children are taking a bus to the zoo and other remaining 12 children are staying at home . They sit 2 children in every seat . How many seats will the children need in all ?,CommonDiv,29,X=58.0/2.0
"Nancy fed 14 cats . My dog had some bones . Then , he dug up 367 complete bones . Now he has 860 complete bones . How many complete bones did my dog start with ?",Subtraction,493,X=860.0-367.0
Marlee has 12 handsome guests coming to her Halloween party . Each table will hold 3 handsome guests . Tom has 3 fireworks . How many tables will Marlee need ?,CommonDiv,4,X=12.0/3.0
"Lino picked up 292 red shells at the seashore in the morning , 324 red shells in the afternoon and 184 black shells in the evening . How many red shells did Lino pick up in all ?",Addition,616,X=292.0+324.0
Megan has 19 white seashells . Kerr eats 6 pizzas . How many more white seashells does Megan need to find to have 25 white seashells in her collection ?,Subtraction,6,X=25.0-19.0
Ronald has 13 small blocks . Martha has with 4 small blocks . Martha finds another 80 small blocks . Rena has 7 blocks . How many small blocks does Martha end with ?,Addition,84,X=4.0+80.0
Janet has 57 red apples . She finds another 95 red apples . Thomas has 12 apples . How many red apples does Janet have in all ?,Addition,152,X=57.0+95.0
"Jesse has 21 yellow bananas . Berg has 9 bananas . If Jesse shares yellow bananas among 3 friends , how many yellow bananas does each friend get ?",CommonDiv,7,X=21.0/3.0
Tina buy 3 tickets . Your class is having a pizza party . You buy 5 cheese pizzas . Each cheese pizza has 4 slices . How many slices is that altogether ?,Multiplication,20,X=5.0*4.0
The farmer had 127 red apples . He gave 88 red apples to his neighbor . Dan had 25 red apples . How many red apples does the farmer have now ?,Subtraction,39,X=127.0-88.0
Luther received 4 cakes . Mrs. Franklin had 58 pink Valentines . Mrs. Franklin gave some pink Valentines to her students . Now she has 16 Valentines . How many pink Valentines did Mrs. Franklin give to her students ?,Subtraction,42,X=58.0-16.0
We ordered 21 pizzas . Each pizza has 8 small slices . Julia ordered 2 slices of pizza . How many small slices of pizza are there altogether ?,Multiplication,168,X=21.0*8.0
Michelle has 7 yellow boxes of crayons . Each yellow box holds 5 crayons . Ted has 7 yellow boxes of crayons . How many crayons does Michelle have ?,Multiplication,35,X=7.0*5.0
"Grant bought 3 games . Ellen had 2080 new Legos , but she lost 17 new Legos . How many new Legos does Ellen have now ?",Subtraction,2063,X=2080.0-17.0
Lucy has an aquarium with 212 yellow fish . She wants to buy 68 more yellow fish . Bob has 2 cars . How many yellow fish would Lucy have then ?,Addition,280,X=212.0+68.0
Megan has 19 white seashells and 11 green seashells . How many more white seashells does Megan need to find to have 25 white seashells in her collection ?,Subtraction,6,X=25.0-19.0
Connie had some marbles . She gave 73 purple marbles to Juan . Now she has 70 purple marbles left . Zoe had 7 marbles . How many purple marbles did Connie have to start with ?,Addition,143,X=73.0+70.0
Melissa scored 120 points in each game . Rondo made 4 faults in each game . How many points did Melissa score in 10 games ?,Multiplication,1200,X=120.0*10.0
"Lori has 30 marbles . Her father owns 20 marbles . If she shares her marbles among 5 friends , how many marbles does each friend get ?",CommonDiv,6,X=30.0/5.0
There are 544 pots . Each pot has 32 purple flowers in it . Joe has 10 flowers . How many purple flowers are there in all ?,Multiplication,17408,X=544.0*32.0
Melissa scored 120 points in each game . John scored 50 points in each game . How many points did Melissa score in 10 games ?,Multiplication,1200,X=120.0*10.0
Norton steals 5 cents . Edward starts with 92 small eggs . He gives 40 small eggs to Phillip . How many small eggs does Edward end with ?,Subtraction,52,X=92.0-40.0
Mrs. Wong had 30 red Valentines . Russell received 5 Valentines . She gave 8 red Valentines to her children . How many red Valentines does Mrs. Wong have left ?,Subtraction,22,X=30.0-8.0
Mrs. Wong had 30 red Valentines . James got 4 cakes . She gave 8 red Valentines to her children . How many red Valentines does Mrs. Wong have left ?,Subtraction,22,X=30.0-8.0
Each banana costs $5.00 . Judy costs $3.50 for toy . How much do 4 bananas cost ?,Multiplication,20,X=5.0*4.0
Mrs. Franklin had 58 pink Valentines and 22 red Valentines . Mrs. Franklin gave some pink Valentines to her students . Now she has 16 Valentines . How many pink Valentines did Mrs. Franklin give to her students ?,Subtraction,42,X=58.0-16.0
Sarah has 7 black boxes of apples . Each black box holds 7 apples . Ian has 8 boxes . How many apples does Sarah have ?,Multiplication,49,X=7.0*7.0
Nell collects baseball cards . She had 304 baseball cards . She gave some of her baseball cards to Jeff and now has 276 baseball cards left . Jason had 3 basketballs . How many baseball cards did Nell give to Jeff ?,Subtraction,28,X=304.0-276.0
Lucy has 212 red fish . Freda has 3 dogs . How many more red fish does Lucy need to buy to have 280 red fish ?,Subtraction,68,X=280.0-212.0
"My dog had some bones . Then , he dug up 367 complete bones and 30 broken bones . Now he has 860 complete bones . How many complete bones did my dog start with ?",Subtraction,493,X=860.0-367.0
Cindy's mom baked 41 heart-shaped cookies and 49 star-shaped cookies . Paul's dad baked 38 heart-shaped cookies . They both brought them to school for a party . How many heart-shaped cookies did they have altogether ?,Addition,79,X=41.0+38.0
Hayley had 25 handmade meatballs on her plate . Kirsten stole some of her handmade meatballs . Now she has 11 handmade meatballs on her plate . Roy received 6 cards . How many handmade meatballs did Kirsten steal ?,Subtraction,14,X=25.0-11.0
Marcus has 210 baseball cards . He has 58 more than Carter and has extra 3 basketball cards . How many baseball cards does Carter have ?,Subtraction,152,X=210.0-58.0
Paula has 6 white boxes of peanuts . Each white box holds 4 peanuts . Herbert has 6 white boxes of peanuts . How many peanuts does Paula have ?,Multiplication,24,X=6.0*4.0
Mrs. Sheridan has 17 Persian cats and 13 Savannah cats . Mr. Sheridan gave her 14 more Persian cats . How many Persian cats does Mrs. Sheridan have altogether ?,Addition,31,X=17.0+14.0
Kerr shoots 25 balls . Ceasar needs to read a 563 yellow page book for school . He has already read 147 yellow pages . How many yellow pages does Ceasar have left to read ?,Subtraction,416,X=563.0-147.0
There are 544 pots . Each pot has 32 purple flowers in it . Bill buys 8 tickets . How many purple flowers are there in all ?,Multiplication,17408,X=544.0*32.0
Ted bought 18 cats . There are 64 pink pigs in the barn . Some more come to join them . Now there are 86 pink pigs . How many pink pigs came to join them ?,Subtraction,22,X=86.0-64.0
Paula bought 2 pizzas . Each pizza had 8 big slices .Grey bought 2 pizzas . How many total big slices of pizza did Paula have ?,Multiplication,16,X=2.0*8.0
You have collected 7 big crickets . Adam has 10 crickets . How many more big crickets do you need to collect to have 11 big crickets ?,Subtraction,4,X=11.0-7.0
Mrs. Hilt reads 5 heavy books and 2 thin books a day . How many heavy books does Mrs. Hilt read in 3 days ?,Multiplication,15,X=5.0*3.0
Sarah has 7 black boxes of apples . Each black box holds 7 apples . Miranda buys 3 oranges . How many apples does Sarah have ?,Multiplication,49,X=7.0*7.0
Ronald has 13 small blocks . Martha has with 4 small blocks . Martha finds another 80 small blocks . Antony finds out 5 toys . How many small blocks does Martha end with ?,Addition,84,X=4.0+80.0
Lino picked up 292 red shells at the seashore in the morning and 324 red shells in the afternoon . Neil picked up 120 red shells . How many red shells did Lino pick up in all ?,Addition,616,X=292.0+324.0
Frank has 13 shirts . Carla has some yellow marbles . She bought 134 yellow marbles . Now she has 187 yellow marbles . How many yellow marbles did Carla start with ?,Subtraction,53,X=187.0-134.0
Lucy has an aquarium with 212 yellow fish . She wants to buy 68 more yellow fish . Cindy has 32 yellow fish . How many yellow fish would Lucy have then ?,Addition,280,X=212.0+68.0
A bee has 6 legs . A dog has 4 legs . How many legs do 2 bees have ?,Multiplication,12,X=6.0*2.0
Mrs. Sheridan has 11 meek cats . Bob has 3 cats . How many more meek cats does Mrs. Sheridan need to have 43 meek cats ?,Subtraction,32,X=43.0-11.0
Jason had 3 basketballs . Nell collects baseball cards . She had 304 baseball cards . She gave some of her baseball cards to Jeff and now has 276 baseball cards left . How many baseball cards did Nell give to Jeff ?,Subtraction,28,X=304.0-276.0
Peter made 4 handicrafts . Josh had 142 blue pencils . He gave 31 blue pencils to Dorothy . How many blue pencils does Josh have left ?,Subtraction,111,X=142.0-31.0
Gavin has 23 shirts. 6 are blue the rest are green. Jacob has 7 vests . How many green shirts does Gavin have?,Subtraction,17,X=23.0-6.0
"Joshua has 40 blue Skittles , 20 green Skittles and 6 eggs . If Joshua shares the blue Skittles among 5 friends , how many blue Skittles does each friend get ?",CommonDiv,8,X=40.0/5.0
The farmer had 127 red apples . He gave 88 red apples to his neighbor . Hanry bought 2 breads . How many red apples does the farmer have now ?,Subtraction,39,X=127.0-88.0
Sally picked 7 lemons and LeBron picked 5 apples . Mary picked 9 lemons from the lemon tree . How many lemons were picked in total ?,Addition,16,X = 7 + 9
Mrs. Franklin had 58 pink Valentines . Mrs. Franklin gave some pink Valentines to her students . Now she has 16 Valentines . Martin had 6 Valentines . How many pink Valentines did Mrs. Franklin give to her students ?,Subtraction,42,X=58.0-16.0
"Ruby has 36 pink candies and 6 bananas . Emily has 9 cakes . If Ruby shares the pink candies among 9 friends , how many pink candies does each friend get ?",CommonDiv,4,X=36.0/9.0
Kobe made 6 cakes . Mrs. Snyder made 86 heart cookies . She made 36 red cookies and the rest are pink . How many pink cookies did Mrs. Snyder make ?,Subtraction,50,X=86.0-36.0
You have collected 7 big crickets and 4 small crickets . How many more big crickets do you need to collect to have 11 big crickets ?,Subtraction,4,X=11.0-7.0
The company produced 300 airplanes . A car company produced 3884 cars in North America and 2871 cars in Europe . How many cars is that in all ?,Addition,6755,X = 3884.0 + 2871.0
Peter spends 3 tickets . The Ferris wheel in Paradise Park has 14 seats . Each seat can hold 6 people . How many people can ride the Ferris wheel at the same time ?,Multiplication,84,X=14.0*6.0
"Ashley sold 12 boxes of Samoas . Olivia also sold 24 boxes of Samoas . How many cases of 12 boxes , plus extra boxes does Ashley need ?",CommonDiv,1,X=12.0/12.0
Virginia starts with 96 big eggs and 45 small eggs. Amy takes 3 big eggs away . How many big eggs does Virginia end with ?,Subtraction,93,X=96.0-3.0
Mark has 7 flowers . Joan has 8 orange balloons but lost 2 of them . How many orange balloons does Joan have now ?,Subtraction,6,X = 8 - 2
There are 3 eggs in each box . Hank has 17 cups . How many eggs are in 2 boxes ?,Multiplication,6,X=3.0*2.0
"Ryan has 72 black marbles , 18 white marbles and 17 blocks . If Ryan shares the black marbles among 9 friends , how many black marbles does each friend get ?",CommonDiv,8,X=72.0/9.0
"Each child has 3 small oranges and 2 big oranges . If there are 4 children , how many small oranges are there in total ?",Multiplication,12,X=3.0*4.0
Ceasar needs to read a 563 yellow page book and a 450 gray page book for school . He has already read 147 yellow pages . How many yellow pages does Ceasar have left to read ?,Subtraction,416,X=563.0-147.0
"There are 2 students in the class and 18 pencils . Helen buys 4 erasers . If the pencils are divided equally among the students , how many pencils does each student get ?",CommonDiv,9,X=18.0/2.0
5 boats are in the lake . Each boat has 3 people . Each bus has 4 wheels. How many people are on boats in the lake ?,Multiplication,15,X=5.0*3.0
Mrs. Hilt bought 2 pizzas . Each pizza had 8 big slices . Kitty ate 5 hamburgers . How many total big slices of pizza did Mrs. Hilt have ?,Multiplication,16,X=2.0*8.0
Jordan picked up 5 basketballs . Lino picked up 292 red shells at the seashore in the morning and 324 red shells in the afternoon . How many red shells did Lino pick up in all ?,Addition,616,X=292.0+324.0
Paula has 6 white boxes of peanuts . Each white box holds 4 peanuts . Lydia shows 5 pearls . How many peanuts does Paula have ?,Multiplication,24,X=6.0*4.0
Rubio has 3 cars . Martha is inviting 4 friends to a party . She has 12 cookies . How many cookies will each friend get ?,CommonDiv,3,X=12.0/4.0
"Emily has 9 cakes . Ruby has 36 pink candies and 6 bananas . If Ruby shares the pink candies among 9 friends , how many pink candies does each friend get ?",CommonDiv,4,X=36.0/9.0
Karen gets 8 pineapples . There are 37 baskets . There are 17 red apples in each basket . How many red apples are there in all ?,Multiplication,629,X=37.0*17.0
Mrs. Hilt wants to make a border around her garden . She needs 125 white rocks and 111 black rocks to complete the border . She has 64 white rocks . How many more white rocks  does Mrs. Hilt need to complete the border ?,Subtraction,61,X=125.0-64.0
Lucy has an aquarium with 212 yellow fish and 88 blue fish . She wants to buy 68 more yellow fish . How many yellow fish would Lucy have then ?,Addition,280,X=212.0+68.0
