,question,operator
337,The car Colleen is driving gets 30 1/3 miles per gallon of gas. She used 2 1/5 gallons of gas going from her home to her grandparents' home. She used another 3 3/10 gallons traveling from her grandparents' home to her cousin's apartment. What was the total distance Colleen drove?,Multiplication
338,182cm is how many feet?,Division
339,Find your percent correct on a test if you received 50 out of 75 possible. a.33% b.67% c. 25% d.30%,Division
340,"rushed-stone walk surrounds a circular flower bed that is 1m wide. If the area of the entire region is 21.98 må_, ind the radius of the flower bed to the nearest tenth of a meter. ""Use pi äö 3.14",Subtraction
341,What decimal part of 240 is 160?,Division
342,strength of gravity on Earth relative to the moon is 6:1. How much would a person weigh on the moon if they weigh 180 pounds on Earth?,Division
343,Paul invested $5000 in a time deposit. What interest will. he earn for 1 year if the interest rate is 6.5%?,Multiplication
344,ing costs $2.89 per square foot. What is the cost to tile a kitchen whose dimensions are 4 yards by 5 yards?,Multiplication
345,determine the lowest common denominator in the following fractions: 3/4 2/3 7/12 9/16,Multiplication
346,how long does it take to drive a mile on a moped that goes the speed of 20-25 mph.,Division
347,what is radical 75 + radical 48 over radical 3?,Addition
348,"whats the mean of this data 63, 71, 72, 77, 77, 78, 86, 77, 88, 88?",Division
349,what's 15% Of 500.00 or even 10 %?,Multiplication
350,"there are 25 spots 800 possible people, what is the probability of getting a spot? the person can't be repicked rytime someone is picked in a spot, they are removed from the pool, i.e. 800...9..798..etc.",Division
351,if jared is turning 16 on august 4th 2008 what year was he born?,Subtraction
352,25.0 divided by 29.4?,Division
353,"What is this calculation? of å£6,$32,840.12",Division
354,I am a number less than 50. Two of my factors are 3 and 5. My digits are 1 apart. Who am I?,Multiplication
355,"How do you find the least or greatest in a group of decimals? roblem: 0.002, 0.0019, 0.0004",Division
356,tate is selected at random from the 50 states of the united states. what is the probability that it is 1 of the 6 new england states?,Division
357,"what is 33.3% of $36,000.00?",Multiplication
358,The average of 33 consecutive whole numbers is 58. What is the smallest of these whole numbers?,Subtraction
359,what percent is this 63 houses finished 28?,Division
360,what is 10% of 65?,Multiplication
361,ylindrical metal rod of radius 1 cm and length 80 cm is melted down and recast into a cylindrical rod of radius 2 cm. How long is the new rod?,Division
362,"In a city-wide survey, bicycle owners were asked how many bicycles they owned and whether any had been stolen during previous year.The results indicated that people in the city owned 9017 bicycles and of these 450 had been stolen. Based on this info, which statement is most reasonable? A- No bicycle owners will have their bicycles stolen this year B- All bicycle owners will have their bicycles stolen this year C- The probability that any one bicyle will be stolen is about 1/5. D- The probability that anyone bicycle will be stolen is about 1/20",Division
363,"What is 2.8% of $29,205.24?",Multiplication
364,what is 46 divided by 3 1/2?,Division
365,what is the least common multiple for 24 48 58?,Multiplication
366,"t is 0.27 percent of 400,000???",Multiplication
367,ectangle had an area of 8cmå_. f the length is 6 2/5 (Six and Two Fiths) what is the width?,Multiplication
368,"there are schools in a city that have internet access there are 21733 elementary schools, 7286 secondary schools and 10682 high schools that have internet access. There is a total of 51745 elementary schools, 14012 secondary schools and 17229 high schools. if you were to visit an elementary school what probability do you have to find internet access?",Division
369,04-May,Division
370,"ngle1 and angle2 are complementary angles. given the measure of angle1, find angle2. angle1-=3d egrees",Subtraction
371,The odds in favor of an event E occurring are 11 to 8. What is the probability of E occurring? (Round your answer to three decimal places.),Division
372,A small farming community in Texas covers 14 square kilometers. There are 420 individuals who live within the town limits. What is the population density of this community? a. 0.03 individuals per square kilometer. b. 53 individuals per square kilometer. c. 30 individuals per square kilometer. d. 10.24 individuals per square kilometer.,Division
373,hat is 75% of 28,Multiplication
374,"Please help. the ratio of girls to boys is 2 to 5 if there are 60 boys , how many girls are there?",Multiplication
375,"what's 10 percent of 5,000?",Multiplication
376,what is 10% of 370.00?,Division
377,"tax rate on a used car in Overshoe County is 6%. What is the sales tax on a sport utility with a selling price of $15,000?",Multiplication
378,a sales of 5 3/4% is charged on a blouse price @ $42 how mch sales tax paid?,Multiplication
379,ectangle has an area of 50 sq. in. and a base 10 in. Write and solve an equation to find the height of the rectangle. W,Division
380,What is 600% of 5?,Multiplication
381,"d the slope of the line that goes through the given points, 7) and (6,5) 0,50) and(60,90)",Subtraction
382,"ent out a survey where 2456 people responded, and I need to know out of these 2456, 1973 answered yes to a question. What is the percentage of people who said yes to the survey.",Division
383,"what is the Less Common Multipler for 8, 15, 20?",Division
384,drove to his grandparents' house for a holiday weekend. The total distance (one-way) was 362 miles and it took him 7 hours. How fast was Ted driving? (Ro A. mph B.3 mph C. mph D. mph,Division
385,"en parallelogram DEFG. If the measure of angle D = 57, find the measure of angle G. A 0. B. C.3",Subtraction
386,what is the answer to -5.68 divided by (-0.02)?,Division
387,"To make an orange dye, 3 parts of red dye are mixed with 2 parts of yellow dye. To make a green dye, 2 parts of blue dye are mixed with 1 part of yellow dye. If equal amounts of green and orange are mixed, what is the proportion of yellow dye in the new mixture?",Division
388,How much hours have passed? m 7:00 this morning to 9:00 now,Addition
389,"says if you are starting a player in 7 out of 20 soccer games, what decimal describes your starting record. I put 7 out of 20 into a fraction 7/20. Thats right so far isn't it? Now how would I put it in a decimal?",Division
390,62 1/2 of t is 35.wWat is t?,Multiplication
391,"actory sells 4,000 printed T-shirts for $7.50 each. Returns and allowances were $925. The store's merchandise inventory on June 1 was $24,750. Purchases during the month were $9,375. The merchandise inventory on June 30 was $26,250. Operating costs were $3,750. t was the net income? $_______",Subtraction
392,The formula for the volume of a cylinder is volume equals pie radius^2 height. What is the volumre of a cylinder if its radius is 3 cm and its height is 1.4cm?,Multiplication
393,27 feet and 10 inches length and 19 feet breath,Multiplication
394,"greatest common factor of 45, 75, and 105?",Multiplication
395,What is 125/tan45?,Division
396,"sum of the digits of a two digit number is 8. When 18 is added to the number, the digits are reversed. Find the number?",Addition
397,find out 84% of 75,Multiplication
398,7800 is what % of 9750?,Multiplication
399,"My brother born Dec 23,1985.wWat year did he turn 18?",Addition
400,"he temperature at the summit of Mt. Mansfield dropped 17å¡ between 4 p.m. and 11 p.m. If the temperature at 11 p.m. was 11å¡, what was the temperature at 4 p.m. A. -2F. B. F. å¡C. F. D. F.6å¡F",Addition
401,Dividing Decimals and Integers by Decimals 301.5(divided b) 1.34,Division
402,"ulate the volume of a water tank in the shape of a cylinder with a diameter of 28cm and a height of 40,cm. If water of volume 18.48 litres is present in the tank calculate the height of the water in the tank. Use pi as 22/7",Multiplication
403,What is 0.999999. in fraction form?,Division
404,what is the 8.25% of $32.94?,Multiplication
405,"If you draw one card at random from a deck of 15 cards numbered 1 through 15,? nclusive, what is the probability that the number you draw is divisible by 3 and odd?",Division
406,"ing a certain period of days, observations were made on the weather. It was noted that whenever it rained in the morning it was clear in the afternoon and whenever it rained in the afternoon, it had been clear on that morning. During this period, it rained on 9 days and was clear on 6 mornings and on 7 afternoons. How long was the period of days?",Addition
407,t is 5% of 80?,Division
408,"t is the slope? ( -3) (9,7) T",Division
409,"If I buy 25 candy bars at 3/$1.00, how much do I owe you?",Division
410,what percent of $260 is $5?,Division
411,Find the percentage; 35% of 40?,Multiplication
412,30 percent of what number is 18?,Multiplication
413,"ore leaving the warehouse, a truck driver noted that the mileage gauge registered 4,357 4/10 m es. When he arrived at the delivery site, the mileage gauge then registered 4,400 1/10 miles. How many miles did he drive from the warehouse to the delivery site?",Subtraction
414,Write 0.0008 1/5 as a decimal without the fraction?,Multiplication
415,what times 1.5 equals 1?,Multiplication
416,"The experimental probability of a defective laptop being produced by a certain company is 0.032. If the company produced 134,000 laptops, how many would the experimental probably suggest are defective? Round answers to the nearest to the nearest whole laptop. A. 428 B. 4,188 C.4,288 D. 41,875",Multiplication
417,40 is what percent of 800?,Multiplication
418,WHAT IS put 4 over 10 in a decimal 2 different decimals?,Division
419,17 11/12 divided by 6 1/10,Division
420,many hours does it take to travel 300 km at 75 km/h? (Use the formula d = rt.) A.2h B4h C225 h C22500 h,Division
421,"What percent of $14,701.19 is $12,453.21?",Division
422,A class of 25 students has 15 girls and 10 boys. what is the PROBABILITY a girl will be chosen at random?,Division
423,How many grams are 1500 milligrams?,Division
424,what is 20 percent of 700?,Multiplication
425,"A vegetable garden is 12 meters long by 7 meters wide. In one square meter, count two toads.Estimate the population of toads in the garden.",Multiplication
426,"Find the common ratio for the following geometric sequence? 4, 12, 36, 108",Division
427,what 113.813 inches is when converted to feet?,Division
428,"Find the range for the set of data, 114, 533, 220, 576, 415, 269?",Subtraction
429,"What is 10% of $1,340.00?",Multiplication
430,"What is 20% of $30,000,000.00?",Multiplication
431,A company manufactures batteries in batches of 29 and there is a 3% rate of defects. Find the mean number of defects per batch. a. 0.899 b. 0.841 c. 0.87 d. 28.13,Multiplication
432,"Pyramid P is similar to pyramid Q. The volume of pyramid P is 980 cm3, and the volume of pyramid Q is 3307.5 cm3. Find the scale factor that would enlarge pyramid P to the size of pyramid Q. A. 27/8 B. 3/2 C. 8/27 D. 2/3",Division
433,ide and express as a mixed number in lowest term: /8 divided by 5 5/14,Division
434,what's 3 divided by 102?,Division
435,what is 1.65m in feet?,Multiplication
436,"pilue means 22 is divided by 7 is, nt i't? th",Division
437,"? d to find out what percentage 95000 is of 2,374,000.",Division
438,quare roots of 25...b,Multiplication
439,"determine the range. 21, 10, 12, 7, 8?",Subtraction
440,what percent is 118 of 205?,Division
441,what 2.3 percent of 527.00 dollars is?,Multiplication
442,of 80? th,Multiplication
443,theast bound us 284 out of lubbock intersected IH 20. at its point of intersection us 284 becomes the middle boundry to 2 supplementary angles. the northwest angle measures 55 degrees. what is the measure of the second angle formed to the east?,Subtraction
444,What is 30% of 200?,Multiplication
445,Find the measure of the supplement of 58.eAa B å¡ C å¡ D å¡,Subtraction
446,0.00 x .270%,Multiplication
447,I made a 61.5 on a test out of 70 possible points. How do I convert that into 100 points?,Division
448,"have 7 friends who want to go to a concert with you, but you only have room in your car for 2 of them. To avoid accusations of favoritism, you have your friends draw straws: There are 5 long and 2 short straws, and the short straws win. How many possible pairs of friends could be chosen in this way?",Multiplication
449,what is 40% of 85?,Multiplication
450,divided by 2.3,Division
451,"If 400 people are employed at a company and 52 work at HQ, what percentage is that?",Division
452,"re are 6 numbers on a normal dice. What is the probability that if you roll the dice, you'll get a 5 or a 6? Express your answer as a fraction with no spaces. Reduce the fraction to its simplest form.",Division
453,change 33/8 into a decimal?,Division
454,t is 150% of 75?,Multiplication
455,What percentage is 525/550?,Division
456,what is the probability that out of 4 children 3 are girls and 1 is a boy?,Division
457,32 is 14% of what number ?,Division
458,"Beaumont, Texas is about 150 miles from Toledo Bend. IF Leo Miller leaves Beaumont at 4 am, and averages 45 mph, when should he arrive at Toledo Bend?",Division
459,What is 30 percent of 300?,Multiplication
460,d the product of 3(26) using the distributive property,Multiplication
461,"n a single card is drawn from an ordinary 52-card deck, find the odds in favor of getting a red 9 or a black 2. their like 4 red 9's in a deck? or how many is their?",Division
462,find 10% of a 1.50,Multiplication
463,What percentage out of 100 does 21/27 convert to?,Division
464,"What is 75% of 1,887?",Multiplication
465,If 5 to the power of x equals 7. d the value of 5 to the power of 2x.,Multiplication
466,"ping only significant digits, express the following in decimal form: 6.5ÌÑ0. x 67",Multiplication
467,what does 10% of 50 equal?,Multiplication
468,Whats the product of 0.4 and 9?,Multiplication
469,"Charles bought a used car and later sold it for a 20% profit. If he sold it for $4596, how much did rles pay for the used car?",Multiplication
470,The floor of a rectangular deck has an area of 600 sq ft. The floor is 20 ft wide. How long is the floor? 15 ft. B 20 ft. C 30 ft. D 45 ft.,Division
471,what is 25 percent of 10000?,Multiplication
472,( 41 - -4 )?,Addition
473,Find the base edge of a square prism with height of 6 m and lateral area of 144 m2.,Multiplication
474,"39,000,000 out of 300,000,000 people can wiggle their ears. This is one out of how many people?",Division
475,is what percent of 200.,Division
476,W is 58 kilos in pounds?,Multiplication
477,"iamond ring sold for $2553.60 including tax. If the tax rate where the diamond was purchased is 6.4%, find the price of the ring before the tax was added. (Round to the nearest cent, if necessary.) A.717.03 B.390.17 C. $2400.00 $24D.63.43",Multiplication
478,of 70 is _____.,Multiplication
479,What is 25% of 40?,Multiplication
480,offe shop shop has 11 jelly doughnuts. If there are 55 doughnuts in the shop. what percent of them are jelly ? 5% b.0% c20.% d.4%,Division
481,Please help me to solve the problem. (2*ö_28)/7.,Division
482,"whats 3% out of 6,662?",Multiplication
483,Regular price for a coat is $120. It is on sale for 25% off the regular price. What is the SALE price of the coat?,Multiplication
484,"Leaning Tower of Pisa should stand at 60 meters, but because it is tilted, it only stands at 58 meters. At what angle of inclination is the tower tilted? - a. -6b. -8c. i",Subtraction
485,"What is 25% of $8,100.00?",Multiplication
486,earchers have observed that regular smokers have an average life span that is normally distributed and is 68 years with a standard deviation of 10 years. What percent of smokers will live beyond age 76?,Subtraction
487,0/5(-27)-49(10),Subtraction
488,18 and 3/4's is what % of 75?,Division
489,10% of $560?,Multiplication
490,"this is a pie chart. It shows the distribution of a person's total yearly income of $36,000. I have to find the amount budgeted for utilities. U lities is 8% F, d 25% R, t 30% O , er 8% E, ertainment 5% C, thing 12% T, nsportation 12%",Multiplication
491,"188,000 is what percent of 210000?",Division
492,"Each perosn in a sample of 300 residents in Buncombe County was asked whether he or she favored having a single countywide police department. The county cnsists of one large city and a number of small townships. The response of those sampoled, with their place of residence specified is given in the following table. Residence/--Favor--Oppose-- Tota Live in city/-- 130---50----180 Live outside city/---85---35---120 Total/--215---85---300 If one person from the sample is selected at random, find the probability that the person favors a single countywide police force.",Division
493,"2001 the average yearly wage was å£21$42 O. average, people spent 31644 on their family holiday W. t percentage of the average yearly wage is that? s",Division
494,"The area of a rectangular garden is 4472 ft. (2) (to the second power.) If the length of the garden is 86 feet, what is its width?",Multiplication
495,if base of a parallelogram is 6 1/2 in. and height is 1 1/2 in. what is its area?,Multiplication
496,"is received a $735 end of year bonus, if her regular salary was $24,500, what was the percent of the bonus if all employees were given fixed percent of thier regular salary as thier bonus",Multiplication
497,"Solve. Round to tenths if necessary.There are 18 violins players in an orchestra.II this is 24% of the?estra membership,find the number of members in the orchestra? a members b. 7 members c. 7 members d. 7 members",Division
498,d.c.b.a.,Addition
499,t is 3.9% of 2500 billion?,Multiplication
500,A car gets 21 mpg. How many miles can it get if the tank is full with 14 gallons?,Multiplication
501,"A person was fined for exceeding the speed limit by 10 mph. Another person was also fined for exceeding the sampeed limit by 10mtwice the sameno the sond person was traveling at a speed of 35 mph, find the speed limit.",Addition
502,t is 3% of 300?,Division
503,"In a game of craps, a player looses on the roll if a 2, 3 or 12 is tossed on first roll.d the probability of loosing on first roll.",Division
504,"you made 450.00, fica tax is 12.00, so on and so forth, what is the percentage, h",Division
505,?,Division
506,What is square root of 63 divided by square root 7?,Division
507,How would you find my overall percentage? total possible points was 400 and i got 336.5 (63.5 is the difference),Division
508,what number is 80% of 250?,Multiplication
509,"what is 15% of 36,000$ ?",Multiplication
510,ommittee of 3 people is to be randomly selected from a group of 5 women and 8 men. What is the probability that the committee will consist only of women? 5/143 B.7/143 C 28/143 D.30/143,Division
511,"find the range of the following set of numbers: 247, 562, 498, 149, 568, 327, 470?",Subtraction
512,A,Multiplication
513,H,Multiplication
514,What percent of 980 is 294?,Multiplication
515,H,Multiplication
516,",",Multiplication
517,,Multiplication
518,least common multiple 45 and 54?,Multiplication
519,How many miles is 10.5 km?,Multiplication
520,5 1/16 inches divided by 3 7/8 inches?,Division
521,0.7 is 19% of what number? _____?,Multiplication
522,$49 paid for restaurant and a 15% tip. How much would the tip be?,Multiplication
523,What is the square footage of a 12 x 15 room?,Multiplication
524,"What's the next number in the sequence 22, 25, 28, 31 is? A 32 B 33 C 34 D 35",Addition
525,An organization of 10 men and 15 women. I want to form a committee of 6 members and I will select them at random wFind the prosability that the committee consists of at least one maninUse 3 decimaloblaces in h answer,Subtraction
526,Write the ratio of 25 cars to 15 cars in lowest terms? A. 25/15 B 15/25 C 5/3 D 3/5,Division
527,Ihe VAT is increased to 19%. What divisor (correct to 5 significant figures) is needed to find the VAT part of the total price?,Division
528,What is 20% of $20?,Multiplication
529,What does 3/4 equal is it?,Division
530,What percentage 39 is of 68?,Multiplication
531,What's 29% of $500?,Multiplication
532,What is 189 divided by 243 in a fraction simplest form?,Division
533,what is 9% of 15?,Multiplication
534,What percent of 50 is 12?,Multiplication
535,"Wha'ts the LCM of 5, 15, 45?",Multiplication
536,"The formula r=2ö_5L can be used to approximate the speed r, in miles per hour, of a car that has left skid marks of length L, in feet. How far will a car skid at 40 mph?",Multiplication
537,What is 67 percent of this number?,Multiplication
538,What number decreased by 20% is 16?,Division
539,What is 5 and 1/18 divided by 4 and 4/9?,Division
540,A rectangle measures 25 cm by 10 cm. What is its area?,Multiplication
541,The area of a parallelogram is 36 cm2. The height of the parallelogram is 3 centimeters. How long is the base?,Multiplication
542,Suppose that blood is 92% water. Find the decimal notation for 92%.,Division
543,3 divided by 2.9 te?,Division
544,Change 225% to a mixed number? 2.5 b22 ..5 c0. 2.25 d.2 25,Division
545,Find the supplement of 127 degrees? (A)53 degrees (B) 233 degrees (C)143 degrees (D) not possible,Subtraction
546,The product of 2 numbers is 875. There HCF is 5. What'll be the LCM?,Division
547,"What is 20 percent of $4,273,000 please?",Multiplication
548,area of Lake Ontario is about 8% of the total area of the Great Lakes. Th area of Lake Ontario is about 7576.8 square miles. Wht is the area of the Graet Lakes?,Multiplication
549,peting cost $20 per square yard. You can carpet a room that has a width of 15ft for $800. What is the length of the room in feet?,Division
550,"If you receive $1,382.50 in commission from $27,650.00, what is the commission rate?",Division
551,"Te are 80 questions, tre are 48 correct h,w do i fInd the % that 48 is of 80? th",Division
552,This is what is says on the paper Integer Subtraction; range (-99) to (+99) (G) Question: (+9) - (-69),Addition
553,"On a map that Joshua is using, 1/4 inch represents 150 miles. On the map, he measured 1 and 1/4 inches from his home to his grandparents' home. Part A: Describe how he could find the number of miles to his grandparents' home. Part B: Find the distance.",Multiplication
554,Rt triangle angles are 90 45 45 thThypotanoeeuside is 110cm what the other 2 sides the other 2 sides are the same lenthg,Multiplication
555,You are climbing a mountain and you are below the mountain's peak at an altitude of 8580 ft. The angle of elevation to the peak is 30.5 degrees. The distance (along the face of the mountain) between you and the peak is 7426 ft. What is the altitude of the peak?,Addition
556,What % of 0.8 is 0.2?,Division
557,What is 30% of 20g?,Multiplication
558,"What percent of $1,021,230.14 is $40,997?",Multiplication
559,sa wants to cover a shelf with shelf papers. The shelf is 11.5 in long and 25.6 in wide. Estimate the nearest square inch the amount of shelf papers Luisa will need. 312 in.^2 B.86 in.^2 C.7 in.^2 D.75 in.^2,Multiplication
560,"$15,155.84 is 2% of what number?",Division
561,"Tobey knows that 1 mile is aproxp. 1imately61 Km.k Wile driving in Canada, a sign reads "" Montreal 220 km"" How many miles is Tobey from Montreal?; Round to the nearest tenth of a mile.",Division
562,What is my class rank in percentage if I am 42 out of 341? I in the top 10% or 20%,Division
563,d the angle of elevation of the sun from the ground to the top of a tree when a tree that is 10 yards tall casts a shadow 14 yards long. Round to the nearest degree. A.54 B 36 C.46 D.44,Division
564,400 is what percent of 40? . 900 b. 1000 c. 1100 d. 1200,Division
565,A football team gain 7 yards on the first play. Then loss 9 yards on the second play and gain 6 yards on the third play to get first down they need 10 yards in four plays. How many yards do they need on the fourth play to get 1st down?,Addition
566,How do I find the exact percentage off my pay check? do I find out what percent uncle sam takes out of my pay check? In one week I made 1792.00 (Gross) taxes taken out were 424.86 leaves me with 1367.14 (Net). The way I did it was by guessing the percentage but it is off. It's not 24% nor 23% it is in between. 23.7% I would like to know how to calculate the exact percentage?,Division
567,Solve for x: 24 is 60% of x?,Multiplication
568,How do you get a percent of 120 like 120% of 80 and 80% of 120?,Multiplication
569,If you worked from 11:00AM till 2:45 PM and got paid at 9.60 per hour.Wwhat does that come to,Multiplication
570,"A 5-card hand is dealt from a standard deck of 52 cards. Find the probability, correct to 7 decimal places, that the 5-card hand contains no aces.",Division
571,"Water weighs 62.4 lbs per cubic foot. What is the weight of the water in a filled pool 51 feet long? 21 feet wide and 4 inches deep, to the nearest tenth of a pound.",Multiplication
572,How to convert a percent into a fraction: just like this problem 37 1/2?,Division
573,A square with a side of 4 has an area that is 80% of rectangle WXYZ. What is the area of rectangle WXYZ? (A)20 (B)200 (C)25 (D)2,Multiplication
574,Hdo you know that 7 divided by 9 less then a?,Division
575,Convert 9.5 yards to feet. Round answers to the nearest tenth. Multiple question? 114 ft . 28.5 ft c3.2 ft,Multiplication
576,how many must he buy and sell to make a profit of about 500 cents a store buys oranges at 8 for 5 cents and sell them at 4 for 11 cents.,Subtraction
577,your business buys a product for $300.00.your business model tells you to mark up your product 33%. much is the markup?a.1 99.00 b.$109.00 c.$99.00 d.$89.00,Multiplication
578,22 is what percent of 92 rounded to the nearest 10th?,Division
579,what does 255 divided by 15 equal?,Division
580,75 is what percent of 80?,Multiplication
581,"At a Texas college, 60% of the students are from the southern part of the state, 30% are from the northern part of the state, and the remaining 10% are from out-of-state. All students must take and pass an Entry Level Math (ELM) test. 60% of the southerners have passed the ELM, 70% of the northerners have passed the ELM, and 90% of the out-of-staters have passed the ELM. If a randomly selecteds tudent has not passed the ELM, the probability the student is from southern Texas is what?",Multiplication
582,"what's the area of this Triangle?t coordinates are: (2,1), (3,4), (0,1)",Division
583,"the length of one side of a triangle is 5, which of following can't be lengths of other 2? a and 3 b3 and 5 c and 8 d7 and 3 e and 12",Addition
584,question is find percent notation for 11/16,Division
585,what is 20% of 182?,Multiplication
586,"the herkimer COunty Fair, Luke saw a tomato that weighed 2 /8 pounds. What is 2 3/8 written as a decimal? e",Division
587,198 is 60% of what number?,Multiplication
588,"A semicircular window of radius 15 inches is to be laminated with a sunblock coating that costs $0.85 per square inch to apply. What is the total cost of coating the window, to the nearest cent?",Multiplication
589,i have 6 briefcases and 2 among them will have 100$.. hat is the probability that you pick a briefcase which has 100$ bill in it..,Division
590,write 3/4 as a percent? 0.75% b.7.5% c.75% d.34%,Division
591,what is 40% of $65.00?,Multiplication
592,"What percentage Of 10,016.58 is 35.08??",Division
593,"What is 28.4% of 15,000,000?",Multiplication
594,24 is 75% of what number?,Division
595,mathematical percentage? 16600 out of 19600,Division
596,"what is 20% of $62,427.00?",Multiplication
597,people decide to do podiatry course in total. 2 of them didn't originally make the standard of high school scores to get into the course but were still accepted. many people are in this 2%?,Multiplication
598,"d the slope of the line that passes through the points (-3, -5) and (3, 2).",Division
599,"a class of 32 students, 4 were absent on monday. What percent of the students were absent monday? Ho",Division
600,How many meters is 63 inches?,Multiplication
601,What's 15% of$å£4.50,Multiplication
602,what is the solution to (sqrt10+(sqrt10+(sqrt10))) ?,Addition
603,Mr. Hernandez had to interview a total of 63 house holds in his assignment. He has already finished 28. What percentage of the households did he finished? ( Round your andswer to the nearest tenth of a percent.).,Division
604,"highest wind speed recorded, as of the year 2000 on the top of Mount Washington was 231 mi/h, which is about 298% faster than the highest wind speed recorded in Chicago. What was the highest wind speed recorded in Chicago as of the year 2000?",Multiplication
605,what number is 45 percent of 20?,Multiplication
606,"If a test was out of 100%, what would a 26/32 be?",Division
607,"find the greatest common factor 189, 441?",Division
608,What is the density of this object? Ang with a mass of 368gra ms if drop in the initial volume of water which is 48ml if the water rose at 68ml ifthe ring is dropped in the water?,Division
609,What is 0.18 divided by 12?,Division
610,i says that she is 107 inches tall. Mitchell says that he is 2 yards tall. Kung says that he is 5 feet 8 inches tall. One of them gane an unlikely measurement of his or her height. What is the name of the student?,Division
611,"of 10,000 is what number?",Multiplication
612,"chart shows 17% as some other color eyes, blue eyes at 33%, and brown eyes at 50%The. refore, if there were 82 students in the class, how many students had brown eyes? Show steps.",Multiplication
613,ing that ) is the radical sign... uld 3)24 become 12)2?,Multiplication
614,"What is the actual distance between Houston & Dallas, if the map shows the two cities to be 1.25 inches apart? a map, the scale 1 inch represents 180 miles.",Multiplication
615,"Use the following information to answer the question below. Polly Rhodes bought a car for $9,200. She drove the car 12,000 miles last year. Her car expenses for the year were insurance, $436; gas and oil, $670; repairs, $28; license plates, $42; loss of interest on original investment, $460; depreciation, 18 percent. Find last year's operating cost per mile, to the nearest cent. ______ cents",Division
616,Write the fraction in simplest form. 66/116 a. 58/33 b. 23/13 c. 33/58 d. 67/117,Division
617,About what percent of 80 is 50?,Division
618,"paid $140 over the purchase price of $2,300 due to interest. If she paid off the item in 1 year, what was the interest rate she paid? nd to the nearest percent and express your answer as a percent.",Division
619,How do you convert 6 7/11 to a decimal? Then round your answerto the nearest hundredth.,Division
620,Determine the smaller angle between the hands when the time is a. 1 o'clock b. 2 o'clock c. 1.30 d. 1.45 e. 1.27 f. 1.52 Find a rule which expresses the angle between the hands when the time is A minutes past B.,Multiplication
621,If the clock now reads 10 : 45. What time will the clock read in 96 hours from now?,Division
622,whats 30 percent of 270?,Multiplication
623,"ts 1'5% of $4,630,966",Multiplication
624,reduce to lowest term 34/68?,Division
625,33 1/3 % of what number is 36,Multiplication
626,What is 75% of 445?,Multiplication
627,A fair coin is tossed 5 times. What is the probability that exactly 2 heads are observed?,Division
628,what is 6 over 30?,Division
629,25% of what number is 20?,Division
630,uppose you repeatedly roll a die for which the probability of a 2 is 0.7. Let X denote the number 2's you get in 11 rolls.,Multiplication
631,The sum of the measures of the interior angles of a quadrilateral is? . 360å¡ B. 720å¡ . 90å¡ D. 180å¡,Addition
632,"A health research fund drive has raised $18,700. That is 22% of the goal. What is the goal?",Multiplication
633,What percent of 55 is 20?,Multiplication
634,FRACTION 5/12 AS A DECIMAL!,Division
635,"howard is flying a kite and wants to find its angle of elevation. the string on the kite is 32 meters long and the kite is level with the top of a building that he knows is 28 meters high. to the nearest tenth of a degree, find the angle of elevation.",Division
636,"What's the nth term for the these arithmetic sequence 2, 4, 8, 16, 32?",Division
637,"Using arithmetic sequence of numbers 2, 4, 6, 8, 10.wWat is d, the difference between any 2 terms?",Subtraction
638,"What is 1/3 of $125,000?",Division
639,325e6.5% is ofat number of T,Multiplication
640,What's 4/10 in the simplest form please answer this?,Division
641,269 is what percent of 400?,Division
642,A ball is thrown upward from the roof of a building 100 m tall with an initial velocity of 20 m/s. When will the ball reach a height of 80 m?,Multiplication
643,"What is 35% of $9,252.07?",Multiplication
644,"Find the least common multiple of 9, 20, and 30?",Multiplication
645,How do you convert 7/8 to a decimal without a calculator?,Division
646,How many counting numbers between 100 and 1000 remain the same when the order of the digits is reversed is one of the numbers.,Multiplication
647,"2004, there were 653 evening newspapers in the United Stares. This is about 44.8% of the number if evening newspapers were there in United States in 1960. How many evening newspapers were there in 1960? Round your answer to the nearest whole number. P",Multiplication
648,What is the fractional equivalent of 40%?,Division
649,"t percent of 119 is 3? If necessary, round your answer to the nearest tenth of a percent.",Division
650,"Haley's car gets at least 17 miles per gallon. If she plans a trip that is 250 miles, what is the minimum number of gallons she'll need?",Multiplication
651,What is 20 percent of 30?,Multiplication
652,Hand what is 11to the negitive 3rd power?,Subtraction
653,"Carpet 1 sells for 6.99/ sq yd. carpet b is a remnant 9 ft by 12 ft sells for 99. you want a carpet that is 9ft y 12ft, will it cost less to buy the remnant or to buy carpet a by the square yard",Multiplication
654,"If an exam is worth 20 pts. and you score 88 correct on the test, what is 88 of that 20 pts?",Multiplication
655,If the base of a rectangle is 3 2/5cm and the area is 28 1/3cm squared what is the height of the rectangle?,Multiplication
656,Write o.735 repeating as a fraction?,Division
657,How many Quarters are equal to $20? 0 b60 c.0 d100,Multiplication
658,How long (in inches) is 6 centmeters?,Division
659,324 is 90% of what number?,Division
660,"baseball a player's batting average is the ratio of hits to the number of times he or she has batted. Thus, if the plater ter has an average of 00, it means that he/she got 300 hits in 1000 at bats. In order to have an average of .3000 , ow many hits would the batter have to get in 400 times a bat?",Multiplication
661,How do I convert 95 degrees to radians?,Division
662,Choose the best estimate: 37% of 55.,Multiplication
663,"If the 2 factors are 25 and 12, what is the product?",Multiplication
