,question,operation
313,What percent of 72 is 25?,Division
314,What is 4.95% of 16 and how would I do this simple mathematical equation?,Multiplication
315,what is the domain and range of 18x^(2)-20?,Subtraction
316,"If this person has 40kg of something and gave 32kg away, what fraction is it?d whole question reads: oan had 40kg of rice. She gave 32kg of them to Mary. What fraction of rice was given to Mary?",Division
317,"-7,-4,-, 6, 11, 14, 13, 8, 2, ÛÒ4,-8 -",Division
318,Solve for | -4.6 -8.3 |? 12.9 B. -12.9 C. 3.7 D. -3.7,Addition
319,what is 2 1/2 years at a rate of 5.2 percent?e question says Kara inherits $1300 from her parents. How much will Kara have if she invessts in a Cd for 2 1/2 years at a rate of 5.2 percent?,Addition
320,liam is using 1.75-liter container to fill a 14-liter container of water. About how many times will he need to fill the smaller container?,Division
321,what is 18% of 250 is it 45?,Multiplication
322,W,Division
323,whats 8.2(10)?,Multiplication
324,What is 0.1 of 180??,Multiplication
325,"what is the lowest common multiple of 12, 24, and 26?",Multiplication
326,"The sequence above is formed by squaring the odd positive integers, beginning with 1. What is the difference between the 8th and 9th terms of this sequence? . 1, 9, 25, 49, . . ..",Multiplication
327,,Division
328,"what is 75% OF 40,000?",Multiplication
329,"I'm thinking of a number . When I subtract 13 and multiply the answer by 3, I get 24?",Addition
330,Convert 30 g/L to the unit g/mL?,Division
331,What is 8 1/3 plus 1 1/3?,Addition
332,10 2/3 as improper fraction? what is 10 2/3 as an improper fraction.,Division
333,H,Subtraction
334,,Division
335,a statistics professor plans classes so carefully that the lengths of her classes are uniformly distributed between 49 and 54 minutes?d the probability that a given class period runs between 51.25 and 51.5,Division
336,"Three segments of lengths- cm, 8 cm, and 4 times the square root of 5 cm -form a right triangle?",Addition
337,"Some body help me with this pattern 1, 1, 2, 6, 24_?",Multiplication
338,many times can you subtract 2 from 12? No,Division
339,"You invite 56 people to your graduation party. You can afford to rent 5 tables, round and/or rectangle (each costing the same).Each round table can seat 8 people and each rectangle table can seat 12 people. How many round and rectangle tables should you rent? explain its a problem solving using linear systems.",Addition
340,"What is 10 % of $25,000.00?",Multiplication
341,"Mr. Chaplin sells a car for $ 35,000.00. If he earns a commission of 4%, how much money does he earn? (A) $1,000.00 (B)$2,000.00 (C)$1,400.00 (D)$1,600.00",Multiplication
342,"5 chips numbered 1, 2, 3, 4, 5 are in a line. What's the probability that the 5 digit number is a multiple of 6?",Division
343,"What is 10% of $ 900,000.00 Mexican pesos?",Multiplication
344,"If i have 1500 texts a month, how many texts can i use a day?",Division
345,Find the difference between 2 1/4 and 1 1/5?,Subtraction
346,How many days of school did I go ? A.5 B.4 C.3 D.2,Addition
347,riangular field has 3 equal 60m sides. If you place posts all around each 2 m apart. howHmany posts would you need?,Multiplication
348,How many millimeters are in two thousand meters?,Multiplication
349,An equilateral triangle has rotational symmetry. What is the angle of rotation? (e)degrees (B)degrees (C)degrees (D) degrees,Division
350,"We spent 296 dollars total. Roomie A spent 238 dollars. Roomie B spent 58 dollars. Roomie C spent 0 dollars. If the total cost is to be split evenly 3 ways (which is like 98.something each), how much does Roomie B and Roomie C owe Roomie A?",Division
351,"T three of the numbers below to total 35. howHmany ways can you do this? 3 5 10 15 20 25 0 iit: a, 5 b,4 c, 6",Addition
352,what is the sum of 10 and 17? what is the product of 9 and 3?,Addition
353,"(-2, -8),(1, 4)? d the slope of the line passing through each pair of points?.",Division
354,"Find the next number in the sequence. 48, 40, 32, 24, 16",Subtraction
355,"Wat is the slope of the line passing through the points (2,0 ) and (6,2 4) -6 1/6 6 -1/6",Division
356,Change the fraction 13/20 to a decimal? (A)0.015 (B)0.15 (C)0.065 (D) 0.65,Division
357,"If you have 21.50, 26.70, 20.50, 28.15, what is the average?",Division
358,What is 3% of 700?,Multiplication
359,ectangular door measures 5 feet by 6 feet 8 inches. What is the distance from one corner of the door to the diagonally opposite corner?,Addition
360,What is the approximate value of cos 31å¼14'? (Use a table and interpolation)? .8563 .8551 .5185 d 0.5165,Subtraction
361,Im 7 stone how many pounds am I.And if i am 158cm how may inches and feet am i!,Multiplication
362,"The width of a swimming pool is 18.5 ft, and the length is 10.75 ft. Ratio of length to width as whole numbers? 43/74 b. 5/9 c. 74/43 d. 9/5",Division
363,"If a 10 pound sack of potatoes cost $6.55, how much would 1 pound cost?",Division
364,169,Multiplication
365,Bob ate 74 crackers in 30 minutes. How many crackers could Bob eat in 45 minutes?,Addition
366,500 billion divided by 135 million?,Division
367,"What is the method for working this out? If the value of a Euro is 1.33 to $1 and you have 300 Euros, how many $ would you get?",Division
368,(-2),Addition
369,"500 students are enrolled in at least two of these three classes: Math, English, and History. 170 are enrolled in both Math and English, 150 are enrolled in both History and English, and 300 are enrolled in Math and History. How many of the 500 students are enrolled in all three?",Addition
370,n you line the numbers up like the column method in addition...y you times 76 and 52 you times the 2 and the 6 then the 2 and the 7....y know??,Multiplication
371,"Of every 5 hot dogs lester sold, 3 had mustard. What % did not have mustard? A 40% B 2/5% C 60% D none?",Division
372,"How much is 90,000,000 divided by 4800?",Division
373,"What are odd numbers? ( ),5 ,7 o(B),6 ,8 ?",Division
374,"electricity costs of a business increased from $10,000 to $13,000 the next year. To the nearest whole percent, what was the rate of increase?",Division
375,"Find the common difference between the terms of the following arithmetic sequence. -6, -1, 4, 9, 14, .? Find the common difference between the terms of the following arithmetic sequence. -6, -1, 4, 9, 14, ..",Addition
376,What is 41 percent of 25 question?,Multiplication
377,#NAME?,Addition
378,"Given a bag of marbles, 9 blue, 5 red, and 2 white. What is the probability of choosing one red marble?",Division
379,ustomer purchased a jacket for $65. This was 80% of the original price. What was the original price? 61.75 B$78.00 C.80.00 D.81.25,Division
380,"ee men walk into a hotel. A room costs $25. Since they want to split the bill evenly, but are bad at math, they pay the receptionist $30, or $10 each. L er, the owner tells the receptionist to give them back the five extra dollars. She gives each man a dollar and keeps the remaining two. Therefore, each man paid $9 a piece for the room, or $27 total. That's $3 less than $30. The receptionist only kept $2, so what happened to the other dollar?",Addition
381,"1, 7, 21, 46, 85,141 What number comes after 141 and why?",Addition
382,"Find the least common multiple of 12, 20, and 72.",Multiplication
383,Find the percentage; 130% of 70. 2.1 b.21 c 9.1 d.91,Multiplication
384,"do you get feet into square yards ? ? How much carpeting does Mrs.W ned? b If the carpeting cost $38 per square yard, how much will it cost? P",Multiplication
385,"is known that making 1lb of honey requires 20,000 trips by bees to flowers to gather nectar. How many pounds of honey would 45,000 trips produce?",Division
386,How do I make 1/6 a decimal?,Division
387,Lts' say I''m Running at the speed of 8 mph for 1 hour I just Covered 8 miles. Now what I want to know is how many mins it takes me to cover 1 mile of those 8 miles,Division
388,"What is your average speed if you drove 1,560 miles in 78 hours?",Division
389,How to find the ratio of 1 : 500. If i wanted to find out the ratio of what 35000 mm is to 1 : 500,Division
390,"In a AAA map of Ohio, 1 inch equals approximately 10 or 18 kilometers. If the distance on the map between Paulding and Eaton is 9.8 inches, how many kilometers is it between the two towns?",Multiplication
391,"sheet of aluminum is 0.012 of an inch thick. How high is a stack of 3,427 sheets? (A) 28 inche (B)s 33 inche (C)s 41 inches",Multiplication
392,"If kalvin flips two coins 50 times and they land Heads-Heads 16 times, Tails-tails 10 times, and head-tails 24 times, what is the experimental probability that they will land tails-tails?",Division
393,"What is 28% of 309,000,000?",Multiplication
394,What percentage of students was unemployed in 1990? The unemployed students: 280. The employed: 3085.,Division
395,is 30% of what number i?,Multiplication
396,"nda is training to be a volunteer at her library. She wonders what the probability is that the first item she'll get to check out for a customer will be a video. So, on her first day of training, she tracks what items are checked out. The results are shown here in a tally chart. OKS: 37 Vieos:28 Maazines:19",Division
397,How many ft is 146cm?,Division
398,How can i find the angle of a sector in radians. The radius of the sector is 5cm. The Arc Length is 8.4cm.,Multiplication
399,"Each of the five identical cards is numbered on one of its sides with a different integer from 1 to 5. Tcards are turned over and then shuffled so that they are not in a predictable order. If the two cards are selected at random without replacement, what is the probability that thei sum is at least 8?",Division
400,"the probability that a person wears glasses is 0.36 and the probability that a person is afraid of sharks is 0.61, what is the probability that a randomly selected person will wear glasses and be afraid of sharks? Round your answer to the nearest hundredth. A 0. 7 B.0. 2 C.0. 5 D.0. 9",Multiplication
401,In how many ways can a club of 20 members choose a president and a vice president?,Multiplication
402,"Hdo I calculate this? I want to find the number that is exacly in the midle between the numbers, 748 and 0,4532",Division
403,"What percentage is 45,000,000 out of 6,000,000,000?",Division
404,I have $30. And I invest that money make 2 tshrts for someone. And than I charge that person $50 for the 2 shirts. So I'm making a $20 profit right? But I originally put $30 into it. So I'm making less than what I put into it. But at the end I have $50 from the customer. Obviously it seems like im making money but at the same time losing? So am I making a profit?,Subtraction
405,How many hours is 2 : 30 to 4 : 00?,Subtraction
406,"A stem and leaf plot for the number of touchdowns scored by all division 1a football teams is shown below. A) if a team is selected at random, find the probability the team scored at least 34 touch downs ( round to the nearest thousandth) 1|3 4 5 7 8 8 2|0 1 2 2 3 4 5 7 8 8 9 3|0 0 1 1 1 2 2 3 3 4 4 5 5 7 7 7 8 9 4|0 0 1 2 2 3 4 5 5 5 5 6 7 8 8 9 5|0 2 3 5 5 7 8 6|1 3 6 7 7| 8|7",Division
407,Choose the fraction equivalent in simplest form for the decimal 0.7.,Division
408,"ave 20 rupees. I bought 1, 2, 5 rupee stamps. They are different in numbers by the reason of no change, the shop keeper gives 3 one rupee stamps. So how many stamp(s) I have.?",Subtraction
409,"The sum of the first 50 positive even integers is 2,550. What is the sum of the even integers from 102 to 200, inclusive? a. 5100 b. 7550 c. 10100 d. 15500 e. 20100",Addition
410,"W is the average of 50 77, 80, and 80?",Division
411,ectangular napkin costs $3.25. A similar tablecloth is five times longer and five times wider. How much would you expect to pay for the tablecloth? $8 .25 b.$4 .75 c.$1 .25 d.$3 .50,Multiplication
412,"lage College awarded 26 varsity letters in c w, 15 in swimming, and 16 in soccer. If awards went to 46 students and only 2 lettered in all sports, how many students lettered in two of the three sports?",Subtraction
413,"weights of 10 apples picked at random from a box of apples were found to be: 6 ounces, 8 ounces, 9 ounces, 8 ounces, 6 ounces, 4 ounces, 6 ounces, 6 ounces, 9 ounces, and 11 ounces. Find the mean weight.",Division
414,F the quotient of 24 and 9 to two decimal places.,Division
415,"A class of 23 students, 14 taking maths and 12 science, how many must be taking both?",Subtraction
416,aker used 52 1/2 cups of flour to make 15 loaves of bread. How many QUAquarterps of flour were used? its : 2 cups = 13 quarters,Multiplication
417,15 is what percent of 60?,Division
418,"a retail manufacturing process last year, there were 29 defective parts. The company boasted that they manufactered 160 non-defective parts. About what percent of the parts were defective? 15% defective b18% defective cc. 22% defective. 29% defective",Division
419,"how many kilometers are there in 1 foot? 1 kilometer = 1,000 meters 1 kilometer = 100,000 centimeters 1 kilometer = 0.6214 mile 1 foot = 0.3048 meter 1 foot = 12 in. (you all know that lol :]) 1 meter = 100 centimeters",Multiplication
420,What would 20% of 200000 be?,Multiplication
421,What is 8/21 in decimal form?,Division
422,"Suppose Ruth Ann has 4 routes she can choose from to get from school to the library, and 6 routes from the library to her home. How many routes are there from Ruth Ann's school to her home with a stop at the library? A. 16 B. 36 C. 24 D. 360",Multiplication
423,"I got a 47 out of 50 on an exam, what is my percentage grade out of 100?",Division
424,What is the probability of rolling a 3 on two consecutive rolls of a fair die? Round your answer to the nearest hundredth? A. 0.01 ) ( B. 0.03 ) ( C. 0.13 ) ( D 0.17 ),Division
425,what percent of 400 is 1 1/3?,Multiplication
426,what's the fraction answer for this problem 3 2/4 + 5 2/5?,Addition
427,u start with a # add 5 then multiply by 7 the result is 133. what was the original #,Addition
428,"the 16071 degrees in mathematics given by US colleges, 73% were bachelor's degrees, 21% were master's degrees, and the rest of doctorates. Women earned 48% of the bachelor's degrees, 42% of the master's degrees, and 29% of the doctorates. You choose a mathematics degree at random and find that it was awarded to a woman. What is the probability that it is a bachelor's degree?",Division
429,"Can you find the slope of the line that passes through the points (-6, -4) and (-2, 5)?",Division
430,"if i have two essays, one worth 30% and the other 70%. The pass mark is 40% but i have got 0 for the 30% essay leaving just the 70% essay to pass of. Is it possible to pass ? and if the 70% essay is out of 100, what mark would i need?",Multiplication
431,Which fraction is in simplest form? 8/10 4/16 9/25 15/63 or none of the above,Division
432,What is 4 2/3 subtracted from 5 1/5?,Subtraction
433,"What is the smallest number which when divided by 24, 36, and 54 gives a remainder of 5 each time?",Addition
434,write 0.36 as a fraction?,Division
435,What is 10 with exponet of 7 divided by 10?,Subtraction
436,jarvis spent $1.04 on candy mints. Each mint cost less than $0.06. how many mints did he get? estimate: A 5 B 10 C 15 D 20,Division
437,What's 8.75% of $45?,Multiplication
438,"A man and a woman shared a lucky draw prize of $6000 in the ratio 2 : 3. The woman divides her part of the share among her mother, her two daughters and herself in the ratio 3 : 1 : 1 : 5. How much will her mother got?",Multiplication
439,eph had $16.00 and spent $5.99 for 2 C.D.'S. How much did he have left? Est: A.$4 B.$6 C.$10 D.$12,Subtraction
440,cience club holds a car wash to raise money. Two groups of students wash the cars. One group can wash 6 cars per hour. The other group can wash 4 cars per hour. How long do both groups take to wash a total of 30 cars? Use a dagram and an equation to find the answer and show me how you got it.,Division
441,is 60% of what number ? I,Multiplication
442,"how many more bottles does she need to sell in order to make a profit of $100, a is selling botled water at a beachside stand. each botttle sells for 1.50 and cost 1.00 she has already sold 90.00.",Multiplication
443,t is 16% of 50?,Multiplication
444,"The perimeter of a church window is 60 inches. If the window is in the shape of a regular pentagon, what is the length of each side of the window? A. 12 inches B. 10 inches C. 6 inches C. 8 inches",Multiplication
445,"ere are the first five terms of a number sequence. 126 122 118 114 11.0 find the 21st term of the number sequence, the 20th term of the number sequence ibs up",Subtraction
446,"e fair dice were tossed, and the sum of the resulting tosses was recorded. This process was repeated 20,000 times using a computer simulation. The number of times the sum of the five tosses equaled 27 was 40. What is the estimated probability that the sum of the five dice will be 27?",Division
447,how many 30 cmx30cm boards fit in 36 square metres?,Multiplication
448,"The total population of Illinois during 2006 was approximately 12,831,970. About 6.9% were under five years old. What is the actual number of those who were under five years old?",Multiplication
449,ume that all variables represent positive real numbers (-ö_5)^2+(ö_5+ö_6)^2,Addition
450,e just ran a race that was 3500 meters long. How many kilometers was the race? 350 km .5 km 5 km .35 km,Division
451,have to fill in the missing blanks. 3 7 13 21 ? 5 20 51 104 ?,Addition
452,"abel on a soup can is unrolled to form a rectangle. If the rectangle has an area of 144cm2 and a height of 12 cm, what is the circumference of the can?",Division
453,what would the answer be to 3ö_3 mulitplied by ö_2?,Multiplication
454,"Write a linear equation for a line that goes through (5, -8) and (-9, -8).",Addition
455,iece of metal 3 7/8 inches long is to be cut from a longer piece of 5 1/16 inches. What will be the length of the remaining piece?,Subtraction
456,"t;you left grand forks at 8:00 AM and arrived in Rapid City, SD at 4:00 PM. your average speed was 70 miles per houd. about how many miles did you driv",Multiplication
457,"How many ways can 12 people be partitioned into three groups of four people? . 2000 . 34,650 . 17,320 . 5,775 . none of the above.",Division
458,"What's the next number?? 1, 2, 6, 42, 1806, ?",Multiplication
459,"What is 36,753 divided by 107?",Division
460,174 is what percent of 600?,Multiplication
461,1 2 6 14.. The next numbe,Addition
462,"What is the Lowest Common Multiple (LCM) for 124, 56, 128 and 39?",Multiplication
463,What is 3 1/2 plus 2 1/8 equals?,Addition
464,"Uma empresa tem 3 diretores e 5 gerentes.Quantas comissoes de 4 pessoas podem ser formadas, em que haja pelo.? A resposta d¡© 65.",Subtraction
465,"What is 10% of $3,860.26?",Multiplication
466,"What is the greatest number less than 10000, which is exactly divisible by 48, 60 and 64?",Multiplication
467,"What is 38.8% of 9,144?",Multiplication
468,lim x-->0 (x*sin(x)) / (1 - cos(x)),Division
469,"How do you estimate 6 and 1/8, x 7 and 4/5?",Multiplication
470,Probability of 2 dice sums equalling odd?,Division
471,he cost of building a bridge in 1995 was estimated to be å£$4 million. When it was finally completed in 1998 it's total cost amounted to $37.7 million. What was the percentage increase?,Division
472,iles = 8 km ow many miles in 60km?,Multiplication
473,"What is the smallest positive integer which has a remainder of one when divided by 2, 3, 4, 5, and 6?",Addition
474,What is the perimeter of a square that has the same area as a 2-inch by 8-inch rectangle?,Multiplication
475,"When the price for a color television is 240 dollars , the average monthly sales for this item at a departmentore is 500 . For each 10 dollar increase in price, the average monthly sales fall by 30 units. What is the average monthly sales if the price is 260 dollar per color television?",Subtraction
476,What is the original price before the 60% decrease if the new price is 840$?,Multiplication
477,What is 18/20 as percent? a.90% b.85% c.80% d.75%,Division
478,A metal rod has a length of 5m and a volume of 3750cm. What is the area of the cross-section?,Division
479,"If someone turned 62 in May 2014, then what year were they born?",Subtraction
480,have 2 box.first include 5 white card and 4 black and second include 7 white and 10 black.we choose 1 card from first box then put it into second without watching it.now we choose 1 card from second box so whats the probablity of the choosen card been white?,Addition
481,"There are 30 children in a class. 12 of them can play badminton, 8 of them can play table tennis. Find the greatest possible number of children that can play neither of the 2 games.",Subtraction
482,long does it take tom to drive 135 miles on I205 if he merges on to it at 10AM and drives non stop with the cruse control at 60MPHompl,Division
483,"In a weekend baseball tourney joel had 4 hits 13 times at bat. That is, he hit safely 4/13 of the time? rite the decimal equivalent for joels hitting, rounding to three decimal places.",Division
484,divide the number 999999 with 99 .,Division
485,0.63 is equal to? .63% b 6.3% c.3% d630%,Division
486,The car Colleen is driving gets 30 1/3 miles per gallon of gas. She used 2 1/5 gallons of gas going from her home to her grandparents' home. She used another 3 3/10 gallons traveling from her grandparents' home to her cousin's apartment. What was the total distance Colleen drove?,Multiplication
487,182cm is how many feet?,Division
488,Find your percent correct on a test if you received 50 out of 75 possible. a.33% b.67% c. 25% d.30%,Division
489,"can i get the per cet of 200 to 30,000 ? l",Division
490,strength of gravity on Earth relative to the moon is 6:1. How much would a person weigh on the moon if they weigh 180 pounds on Earth?,Division
491,"what number comes next in the sequence? 44, 93, 191, 387, ___?",Addition
492,determine the lowest common denominator in the following fractions: 3/4 2/3 7/12 9/16,Multiplication
493,what is radical 75 + radical 48 over radical 3?,Addition
494,a man has a patio and he wants to cover it with bricks. the bricks cost 19 cent. the bricks are 6 inches by 12 inches. the patio is 3 ft by 4 ft. how many bricks does he need and how much will it cost.,Multiplication
495,There are 4 sopranos and 7 altos in the choir. How many different soprano/alto duets can be formed?e 18 . 21 c 24 d 28,Multiplication
496,can fill a pool carrying bucks of water in 30 minutes. Sue can do the same job in 45 minutes. Tony can do the same job in 1 å_ h1/2 hours. How quickly can all three fill the pool togetherou a.12 minutes b.minutes c.21 minutes d.minutes e.minutes,Division
497,"how do you find a 2 digit number a multiple of both 3 and 4 the sum of its digits is 15, what is a prime numbe",Division
498,"whats the mean of this data 63, 71, 72, 77, 77, 78, 86, 77, 88, 88?",Division
499,what's 15% Of 500.00 or even 10 %?,Multiplication
500,"6 drums of oil will heat 5 identical buildings for 3 days, how many days will 10 drums of oil last when heating 2 of the same buildings? 10 B. 12 C) 12.5 D. 14.5 E. 18",Division
501,4 times square root of 2 multiplied by 3 times the square root of 8,Multiplication
502,ch ratio is not equal to 4/9? 45a.95 16b.36 8/c.8 2d.45,Division
503,"find the least number which when divided by 40, 50 & 60 leaves remainder 5 in each case.",Addition
504,The hanes own a 1 3/4-acre lot. If they buy an adjacent 2 1/3-acre lot how many acres will they own in all? a.3 1/12 b.3 1/4 c.3 4/7 d.4 1/12,Addition
505,"What is this calculation? of å£6,$32,840.12",Division
506,what's the answer to this 3 times the cube root of 62 divided by 1009 then half then subtract 90123?,Subtraction
507,cott is now 3 times as old as Joey. In 4 years Joey will be 15 years old. How old was Scott 6 years ago?,Subtraction
508,I am a number less than 50. Two of my factors are 3 and 5. My digits are 1 apart. Who am I?,Multiplication
509,tate is selected at random from the 50 states of the united states. what is the probability that it is 1 of the 6 new england states?,Division
510,"what is 33.3% of $36,000.00?",Multiplication
511,what is 10% of 65?,Multiplication
512,t is 0.378 as a fraction in its simplest form?,Multiplication
513,"In a city-wide survey, bicycle owners were asked how many bicycles they owned and whether any had been stolen during previous year.The results indicated that people in the city owned 9017 bicycles and of these 450 had been stolen. Based on this info, which statement is most reasonable? A- No bicycle owners will have their bicycles stolen this year B- All bicycle owners will have their bicycles stolen this year C- The probability that any one bicyle will be stolen is about 1/5. D- The probability that anyone bicycle will be stolen is about 1/20",Division
514,"What is 2.8% of $29,205.24?",Multiplication
515,what is 46 divided by 3 1/2?,Division
516,hip is running at 22 1/4 knots (nautical miles per hour) for 4 1/2 hours. How far does the ship travel? Si,Multiplication
517,"If a diagonal in a rectangle is 90 m long, how long would a bisected piece of the diagonal be? a.m 60b.m 45c.m 37d.5 m",Division
518,A machine runs on a mixture of petrol and ethanol mixed in the ratio 11 : 3. How much petrol is needed to mix 10 liters if it is to be added to an existing 5 liters mixed in the ratio 3 : 1?,Subtraction
519,what is the least common multiple for 24 48 58?,Multiplication
520,"t is 0.27 percent of 400,000???",Multiplication
521,shopkeeper has sold 16 articles for a total of $400 and made profit of $48 how much did each article cost him?,Division
522,"2-ounce box of corn muffins cereal costs $2.50. At that rate, how much does an 1-ounce box of corn muffins cereal cost?",Division
523,"there are schools in a city that have internet access there are 21733 elementary schools, 7286 secondary schools and 10682 high schools that have internet access. There is a total of 51745 elementary schools, 14012 secondary schools and 17229 high schools. if you were to visit an elementary school what probability do you have to find internet access?",Division
524,04-May,Division
525,how do you square root these problems?-ö_54. ö_9-ö_4+ö_16.,Addition
526,Approximately what percentage is equal to 1/6? A: 17% B: 15% C: 20% D: 25%,Division
527,recipe calls for 1 1/8 cups of blueberries for each batch of muffins. How many cups of muffins do you need if you make 3 5/6 batches?,Multiplication
528,"ngle1 and angle2 are complementary angles. given the measure of angle1, find angle2. angle1-=3d egrees",Subtraction
529,ara drove 216 miles in 4 hours 30 minutes alculate her average speed.,Division
530,i was born in 1995 how old will i be in 2088?,Subtraction
531,A small farming community in Texas covers 14 square kilometers. There are 420 individuals who live within the town limits. What is the population density of this community? a. 0.03 individuals per square kilometer. b. 53 individuals per square kilometer. c. 30 individuals per square kilometer. d. 10.24 individuals per square kilometer.,Division
532,"If I made $2,926.00 and my husband made $39,582.00 for a total of $42,508.00? hat percentage of our total income would mine be?",Division
533,Multiply. Write your answer as a mixed number in simplest form. 1 1/7 x 3 1/4,Multiplication
534,"In what direction is the line containing the points (-4, -6) and (2, 8) going? vertical B. horizontal C. up and to the right D. down and to the right",Division
535,what is 30$ off a $125 dollar shirt?,Subtraction
536,"Please help. the ratio of girls to boys is 2 to 5 if there are 60 boys , how many girls are there?",Multiplication
537,How much is 1 1/2 divided by 1 1/3?,Division
538,"what's 10 percent of 5,000?",Multiplication
539,"What number is missing from the pattern? 20, 22, 26, 34, __, 82?",Addition
540,"tax rate on a used car in Overshoe County is 6%. What is the sales tax on a sport utility with a selling price of $15,000?",Multiplication
541,Kathy runs a 26.2 mile marathon At an average pace of 6.2 minutes per mile. how long will it take her to finish the Marathon? Round your answer to the nearest minute. ( A. 3 hours 4 minutes ) ( B. 2 hours 42 minutes ) ( C. 2 hours 38 minutes ) ( D. 2 hours 15 minutes ),Multiplication
542,"ma and Betty are playing a number game. Wilma tells Betty, ""I'm thinking of a number between 1 and 10. If I take the number and add 4 to it and then multiply that by 3, I get 30."" What number is Wilma thinking of?",Addition
543,What is the probability of drawing a five or a spade from a standard deck of cards? A. 4/26 B. 5/52 C. 11/13 D. 4/13,Division
544,many times can you subtract 5 from 25?,Division
545,"bulilding a lobster tank the dimensions are 6ft long by 2ft wide by 1ft deep, i need to know about how many gallons of water it should hold.. Th",Multiplication
546,What is 600% of 5?,Multiplication
547,"d the slope of the line that goes through the given points, 7) and (6,5) 0,50) and(60,90)",Subtraction
548,"im driving 2300 miles,ocar gets 20 miles per gallon highway r, ghly 300 per tank c, someone help me out on the cost i",Division
549,"what is the Less Common Multipler for 8, 15, 20?",Division
550,"my living room is 12 feet 9 inches by 15 feet by 10 inches, can some one tell me how many sq metres that is?",Multiplication
551,Three people can deliver 1000 leaflets in 30 minutes. How long would it take 5 peole to deliver 1000 leaflets ?,Division
552,A package of ground beef costs $6.98. The price per pound is $1.86. How many pounds of ground beef are in the package?und to the nearest hundredth. A. 3.55 B. 3.64 C. 3.75 D. 3.86,Division
553,d the measure of each interior angle of a regular hexagon. A. B.0 C.0 D.0,Division
554,How much hours have passed? m 7:00 this morning to 9:00 now,Addition
555,"actory sells 4,000 printed T-shirts for $7.50 each. Returns and allowances were $925. The store's merchandise inventory on June 1 was $24,750. Purchases during the month were $9,375. The merchandise inventory on June 30 was $26,250. Operating costs were $3,750. t was the net income? $_______",Subtraction
556,The formula for the volume of a cylinder is volume equals pie radius^2 height. What is the volumre of a cylinder if its radius is 3 cm and its height is 1.4cm?,Multiplication
557,"greatest common factor of 45, 75, and 105?",Multiplication
558,"Ashok spends 25% of his monthly income on petrol for his car, 2/3rd of the remaining income on household items, rent, etc. If he is left with Rs.1800 with him at the end of the month, how much does he spend on the petrol?",Multiplication
559,"ave a 40% off coupon & I want to buy a Hi-Def DVD that cost $40. With 40% off, how much do I pay &",Subtraction
560,What is 125/tan45?,Division
561,"A line passing through (11, 1) and (7, y) is parallel to a line with slope - What is the value of y?",Subtraction
562,"Jordan was trading baseball cards with friends. He gave 15 cards to Tom and got 3 back. He gave 1/3 of the remaining cards to Elaine and kept the rest for himself. When he got home, he counted that he had 25 cards. How many cards did Jordan start with?",Addition
563,of X is 50. Solve for X.,Multiplication
564,what is 2 1/2 times 1 1/5?,Multiplication
565,go see a movie today. I starts at 45 the movie is 1hr and 28min . Long und what time does the movie end.?,Subtraction
566,"The legs on a table are 2 7/8 inches high. The top is 24 inches wide, 48 inches long, and 1 3/16 inches thick. How high above the floor is the table surface?",Addition
567,ya flip a coin 10 times. wats the chance of getting tails 5 times out of the 10?,Division
568,"have an assignment that has 70 questions on it and I only got 38 right, how would I calculate my grade on a 100 point scale?",Division
569,"My brother born Dec 23,1985.wWat year did he turn 18?",Addition
570,what is the next number at the end 5 7 6 8 7 ?,Addition
571,Dividing Decimals and Integers by Decimals 301.5(divided b) 1.34,Division
572,$90 - $18. What percentage am I taking away from 90?,Division
573,What is 0.999999. in fraction form?,Division
574,How do you find 1/20th of 1/100th of 50?,Multiplication
575,"if 20 ounce of popcorn cost $2.80. if the unit price stays the same, what is the cost of 35 ounce of popcorn?",Multiplication
576,"a play sells 1572, then 2nd year sells 1753, in the 3rd it sells 152 less then the 2nd how many sold third year?",Subtraction
577,t is 5% of 80?,Division
578,How do I multiply (sq. root of 7 + sq. root of 3) (sq. root of 7 minus sq. root of 3).,Subtraction
579,"There are 14,000 registered voters in Waterston. In the last election 5,600 voted. What percent of the registered voters participated in the last election?",Division
580,"t is the slope? ( -3) (9,7) T",Division
581,"average (arithmetic mean) of a list of 10 numbers is 15. If one of the numbers is removed, the average of the remaining numbers is 14. What is the number that was removed?",Subtraction
582,ire buys 40 bulbs of them are crocus bulbs and 1/5th of them are tulip bulbs and the rest are daffodil bulbs . many daffodil bulbs does she buy?,Subtraction
583,"If I buy 25 candy bars at 3/$1.00, how much do I owe you?",Division
584,A person had a rectangular-shaped garden with sides of lengths 16 feet and 9 feet? garden was changed into a square design with the same area as the original r tangular-shaped garden. How many feet in length are each of the sides of the new s are-shaped garden? 7 B.9 C 12 D.5 square root7 E.16,Multiplication
585,what percent of $260 is $5?,Division
586,What is the equivalent of 3 over 30?,Division
587,"How much money is left after these deposits and purchases? EPOSIT: $136.81 Purchases: $4.99, $1.08, $4.32, $3.40, $6.18, $5.12, $28.09, $7.74, $15.91, $14.30, $8.62, $12.57, $17.33. EPOSIT: $171.03 . Purchases: $1.43, $5.51, $5.65, $1.00, $120.00, $33.72, $1.00.",Addition
588,od 7.5 ft long is to be cut into 5 pieces. How many feet long will each piece be? 1.5 ft B 2.5 ft C.3 ft,Division
