,question,operation
506,What is 8 1/3 plus 1 1/3?,Addition
507,10 2/3 as improper fraction? what is 10 2/3 as an improper fraction.,Division
508,Algebra 2 Can someone please help? ed takes a job that pays 3000 the first month and increases 100 each month for 2 years. What will be his salary at the end of 2 years? How much did he earn over the 2 years?,Addition
509,H,Subtraction
510,,Division
511,"If you get paid $8.00 per hour at your job and insurance is $200 a month, how many hours will you have to.?",Division
512,t is the LCM of 88 and 12. I,Multiplication
513,a statistics professor plans classes so carefully that the lengths of her classes are uniformly distributed between 49 and 54 minutes?d the probability that a given class period runs between 51.25 and 51.5,Division
514,"Iou have a circle with C as its center, and B as a point outside of the circle, and A as a point on the circle, and AC is 12, and AB is 16, and the portion of BC from B to the circle is 8, how do you figure out BC? ..",Addition
515,"What is 10 % of $25,000.00?",Multiplication
516,"If 10001 is 17 in binary, what is 18 in binary?",Addition
517,"Mr. Chaplin sells a car for $ 35,000.00. If he earns a commission of 4%, how much money does he earn? (A) $1,000.00 (B)$2,000.00 (C)$1,400.00 (D)$1,600.00",Multiplication
518,"5 chips numbered 1, 2, 3, 4, 5 are in a line. What's the probability that the 5 digit number is a multiple of 6?",Division
519,"What is 10% of $ 900,000.00 Mexican pesos?",Multiplication
520,"If i have 1500 texts a month, how many texts can i use a day?",Division
521,Find the base of the parallelogram if the area is 120 in2 and the height is 8 inches.,Multiplication
522,Find the difference between 2 1/4 and 1 1/5?,Subtraction
523,"Mary received $15 for her weekly allowance. She spent $10 at the movie theater with her friends. What fraction of the money, in simplest form, was spent at the theater?",Division
524,How many days of school did I go ? A.5 B.4 C.3 D.2,Addition
525,"tudent is 18 years of age in 1995 when he is attending the 12th grade, how old is he now after 12 years? Is",Addition
526,How many millimeters are in two thousand meters?,Multiplication
527,An equilateral triangle has rotational symmetry. What is the angle of rotation? (e)degrees (B)degrees (C)degrees (D) degrees,Division
528,"We spent 296 dollars total. Roomie A spent 238 dollars. Roomie B spent 58 dollars. Roomie C spent 0 dollars. If the total cost is to be split evenly 3 ways (which is like 98.something each), how much does Roomie B and Roomie C owe Roomie A?",Division
529,"t year, original price of a popular sweater was $40. This year, the price is $42. Find the percent of increase in price.",Division
530,what is the sum of 10 and 17? what is the product of 9 and 3?,Addition
531,"Two bales of hay weigh a total of 1.5 tons. How many pounds is this? A 1,500 B 2,000 C 2,500. D 3,000.",Multiplication
532,"(-2, -8),(1, 4)? d the slope of the line passing through each pair of points?.",Division
533,"Find the average value of 2 sinx-sin2x on the interval 0 , pie?",Subtraction
534,Write the ratio of 16 cats to 12 cats in the lowest terms. 16/12 b.12/16 c.4/3 d.3/4,Division
535,"Wat is the slope of the line passing through the points (2,0 ) and (6,2 4) -6 1/6 6 -1/6",Division
536,"There are two boxes box 1 has 1 red ball, 1 green ball, and 1 blue ball box 2 has 2 red balls, and 1 blue ball to win the game you must get a blue and a red ball you must pick from box 1 first then pick from box 2 what is the probability of winning?",Division
537,Find an angle theta in the second quadrant for which tan theta = -1. look for an angle between 0 and 360 degrees?,Addition
538,"3 boys, 2 girls and a puppy sit at a round table.yhow many ways can they be arranged if the puppy is to be seated between the two girls?",Multiplication
539,Change the fraction 13/20 to a decimal? (A)0.015 (B)0.15 (C)0.065 (D) 0.65,Division
540,"If you have 21.50, 26.70, 20.50, 28.15, what is the average?",Division
541,What is 3% of 700?,Multiplication
542,ectangular door measures 5 feet by 6 feet 8 inches. What is the distance from one corner of the door to the diagonally opposite corner?,Addition
543,"Ive just been transferring balances to my 0% credit card, and saw i had to leave 95% of my credit limit free. Can someone please tell me what 95% of å£3,$00 is?",Multiplication
544,What is the approximate value of cos 31å¼14'? (Use a table and interpolation)? .8563 .8551 .5185 d 0.5165,Subtraction
545,"I am 5 feet 7 inches and 3/4 tall according to my tape measure, how many centimeters is that?",Multiplication
546,Im 7 stone how many pounds am I.And if i am 158cm how may inches and feet am i!,Multiplication
547,"The width of a swimming pool is 18.5 ft, and the length is 10.75 ft. Ratio of length to width as whole numbers? 43/74 b. 5/9 c. 74/43 d. 9/5",Division
548,169,Multiplication
549,Bob ate 74 crackers in 30 minutes. How many crackers could Bob eat in 45 minutes?,Addition
550,"Mrs. Fleming bought a freezer. It is 4 feet long, 2 feet wide, and has a volume of 36 cubic feet. What is the freezers height?",Division
551,"red missed a class test. His teacher, Mr Happy, knows that Alfred usually scores 1.6 standard deviations above the class mean. For the test that Alfred missed, the class mean was 18 and the standard deviation was 4. If Mr Happy is going to give Alfred a mark based on his standard score, what mark should Alfred receive?",Addition
552,500 billion divided by 135 million?,Division
553,"What is the method for working this out? If the value of a Euro is 1.33 to $1 and you have 300 Euros, how many $ would you get?",Division
554,2/3% of 24$ is what?,Multiplication
555,(-2),Addition
556,te 275% and 5% as equivalent decimals,Division
557,"500 students are enrolled in at least two of these three classes: Math, English, and History. 170 are enrolled in both Math and English, 150 are enrolled in both History and English, and 300 are enrolled in Math and History. How many of the 500 students are enrolled in all three?",Addition
558,n you line the numbers up like the column method in addition...y you times 76 and 52 you times the 2 and the 6 then the 2 and the 7....y know??,Multiplication
559,"Of every 5 hot dogs lester sold, 3 had mustard. What % did not have mustard? A 40% B 2/5% C 60% D none?",Division
560,"How much is 90,000,000 divided by 4800?",Division
561,"What are odd numbers? ( ),5 ,7 o(B),6 ,8 ?",Division
562,"electricity costs of a business increased from $10,000 to $13,000 the next year. To the nearest whole percent, what was the rate of increase?",Division
563,"Find the common difference between the terms of the following arithmetic sequence. -6, -1, 4, 9, 14, .? Find the common difference between the terms of the following arithmetic sequence. -6, -1, 4, 9, 14, ..",Addition
564,What is 41 percent of 25 question?,Multiplication
565,100 is 85% of what number?,Division
566,#NAME?,Addition
567,"Given a bag of marbles, 9 blue, 5 red, and 2 white. What is the probability of choosing one red marble?",Division
568,ustomer purchased a jacket for $65. This was 80% of the original price. What was the original price? 61.75 B$78.00 C.80.00 D.81.25,Division
569,Ii have a 310 Litre tank of water andIi need to put a chemical in it which the dosage rate is 1 scoop per 38 Litres (10 US gallons) How many scoops would i need to put h,Division
570,ermine to the correct number of significant figures the mass (g) of nickel in a 78.3 g sample of a mineral that is 91.04% nickel by mass.,Multiplication
571,"r. Adams' salary last year was $45,000. He will get an 8% increase this year. What is his new salary? (A) $3, (B)60 $ (C).3000 (D)$ 5,036 (E) $45,360 $48,600",Multiplication
572,"Find the least common multiple of 12, 20, and 72.",Multiplication
573,Find the percentage; 130% of 70. 2.1 b.21 c 9.1 d.91,Multiplication
574,"do you get feet into square yards ? ? How much carpeting does Mrs.W ned? b If the carpeting cost $38 per square yard, how much will it cost? P",Multiplication
575,"nces spends 1/3 of the day sleeping, 1/4 of the day studying and 1/8 of the day eating. How many hours in the day does she have left?",Subtraction
576,"is known that making 1lb of honey requires 20,000 trips by bees to flowers to gather nectar. How many pounds of honey would 45,000 trips produce?",Division
577,How do I make 1/6 a decimal?,Division
578,Lts' say I''m Running at the speed of 8 mph for 1 hour I just Covered 8 miles. Now what I want to know is how many mins it takes me to cover 1 mile of those 8 miles,Division
579,What is 5 percent of $530.00? A.$26.50. B.$556.50. C.525.00. D.503.50.,Multiplication
580,What's 1.7 as a percentage of 5.5?,Division
581,"ine cards are numbered 1 to 9 inclusive. If cards are drawn one at a time at random & they are not replaced, find the probability that the result will be an odd card, even, even odd, odd, & even?",Division
582,How to find the ratio of 1 : 500. If i wanted to find out the ratio of what 35000 mm is to 1 : 500,Division
583,works for $15.50 per hour for a health care facility. He is supposed to get a 75 cent per hour raise at one year of service. What will his percent increase in hourly pay be?,Division
584,"In a AAA map of Ohio, 1 inch equals approximately 10 or 18 kilometers. If the distance on the map between Paulding and Eaton is 9.8 inches, how many kilometers is it between the two towns?",Multiplication
585,"sheet of aluminum is 0.012 of an inch thick. How high is a stack of 3,427 sheets? (A) 28 inche (B)s 33 inche (C)s 41 inches",Multiplication
586,"If kalvin flips two coins 50 times and they land Heads-Heads 16 times, Tails-tails 10 times, and head-tails 24 times, what is the experimental probability that they will land tails-tails?",Division
587,"What is 28% of 309,000,000?",Multiplication
588,is 30% of what number i?,Multiplication
589,"Which combination of numbers in this group has the highest value?m+ (-4), 4*|-2|, -4 * |2|, or | -4 | * (-2)",Multiplication
590,"nda is training to be a volunteer at her library. She wonders what the probability is that the first item she'll get to check out for a customer will be a video. So, on her first day of training, she tracks what items are checked out. The results are shown here in a tally chart. OKS: 37 Vieos:28 Maazines:19",Division
591,What percent of 18 is 0.5?,Division
592,How many ft is 146cm?,Division
593,How can i find the angle of a sector in radians. The radius of the sector is 5cm. The Arc Length is 8.4cm.,Multiplication
594,"Each of the five identical cards is numbered on one of its sides with a different integer from 1 to 5. Tcards are turned over and then shuffled so that they are not in a predictable order. If the two cards are selected at random without replacement, what is the probability that thei sum is at least 8?",Division
595,"the probability that a person wears glasses is 0.36 and the probability that a person is afraid of sharks is 0.61, what is the probability that a randomly selected person will wear glasses and be afraid of sharks? Round your answer to the nearest hundredth. A 0. 7 B.0. 2 C.0. 5 D.0. 9",Multiplication
596,In how many ways can a club of 20 members choose a president and a vice president?,Multiplication
597,"Hdo I calculate this? I want to find the number that is exacly in the midle between the numbers, 748 and 0,4532",Division
598,"At camp today, kids can choose art, swimming, or music. Of those activities, 40 kids choose swimming, 16 chooart, and 24 choose music. What is the ratio of kids who choose music to kids who choose swimming? A2/5 B.2/3 C15",Division
599,"What percentage is 45,000,000 out of 6,000,000,000?",Division
600,A computer was priced at $850. You paid 20%? much was not paid in cash? (A)0 $(B)0 $(C)0 $(D)0,Subtraction
601,I have $30. And I invest that money make 2 tshrts for someone. And than I charge that person $50 for the 2 shirts. So I'm making a $20 profit right? But I originally put $30 into it. So I'm making less than what I put into it. But at the end I have $50 from the customer. Obviously it seems like im making money but at the same time losing? So am I making a profit?,Subtraction
602,What is the ratio 22 : 31 as a decimal?,Division
603,Express the following as a percent: 8 out of 12. Round to the nearest whole number. % % D.%,Division
604,What is 1/3 of 24?,Division
605,"A stem and leaf plot for the number of touchdowns scored by all division 1a football teams is shown below. A) if a team is selected at random, find the probability the team scored at least 34 touch downs ( round to the nearest thousandth) 1|3 4 5 7 8 8 2|0 1 2 2 3 4 5 7 8 8 9 3|0 0 1 1 1 2 2 3 3 4 4 5 5 7 7 7 8 9 4|0 0 1 2 2 3 4 5 5 5 5 6 7 8 8 9 5|0 2 3 5 5 7 8 6|1 3 6 7 7| 8|7",Division
606,Choose the fraction equivalent in simplest form for the decimal 0.7.,Division
607,Andy walks 36.6 miles with his mother to earn money for charity. they walk 12.2 miles a day. How many days do they walk? A.2.5 days B.3 days C.3.2 days D.3.5 days,Division
608,"ave 20 rupees. I bought 1, 2, 5 rupee stamps. They are different in numbers by the reason of no change, the shop keeper gives 3 one rupee stamps. So how many stamp(s) I have.?",Subtraction
609,"W is the average of 50 77, 80, and 80?",Division
610,"probability that event A occurs is .790. e probability that event B occurs is .580. e probability that both events A and B occur is .260, find P(B\A).",Subtraction
611,"lage College awarded 26 varsity letters in c w, 15 in swimming, and 16 in soccer. If awards went to 46 students and only 2 lettered in all sports, how many students lettered in two of the three sports?",Subtraction
612,W is 20% of $306???,Multiplication
613,"weights of 10 apples picked at random from a box of apples were found to be: 6 ounces, 8 ounces, 9 ounces, 8 ounces, 6 ounces, 4 ounces, 6 ounces, 6 ounces, 9 ounces, and 11 ounces. Find the mean weight.",Division
614,F the quotient of 24 and 9 to two decimal places.,Division
615,"henry can paint a wall in 20 minutes and peter can paint the same wall in 30 minutes, how much of the wall can henry and peter paint if they work together for 1 minute?",Division
616,aker used 52 1/2 cups of flour to make 15 loaves of bread. How many QUAquarterps of flour were used? its : 2 cups = 13 quarters,Multiplication
617,15 is what percent of 60?,Division
618,"a retail manufacturing process last year, there were 29 defective parts. The company boasted that they manufactered 160 non-defective parts. About what percent of the parts were defective? 15% defective b18% defective cc. 22% defective. 29% defective",Division
619,"a 10-pound steak costs $6.55, how much would 1 pound cost? Round your answer to the nearest cent. A.$.65 B.$.66 C.$1.65 or D. $6.55",Division
620,"ardo has 6 colors of fabric, red bl,ue green yellow orange and white . Hlans to make flags using 2 colors, how many possible combinations of 2 colors can he choose. ?",Multiplication
621,"Suppose 80% of kids who visit a doctor have a fever, and 15% of kids with a fever have sore throats. What is the probability that a kid who goes to the doctor has a fever and a sore throat?",Multiplication
622,"ecieved my grade for a test. It says I can get a possible 70 points total for the test. It says I only recieved 55 points of the possible 70, so what would be my grade percentage?",Division
623,What would 20% of 200000 be?,Multiplication
624,"a product normally retails for $40.00 and we give you a $10 discount, what percentage discount do you receive?",Division
625,What is 8/21 in decimal form?,Division
626,"Suppose Ruth Ann has 4 routes she can choose from to get from school to the library, and 6 routes from the library to her home. How many routes are there from Ruth Ann's school to her home with a stop at the library? A. 16 B. 36 C. 24 D. 360",Multiplication
627,"I got a 47 out of 50 on an exam, what is my percentage grade out of 100?",Division
628,What is the probability of rolling a 3 on two consecutive rolls of a fair die? Round your answer to the nearest hundredth? A. 0.01 ) ( B. 0.03 ) ( C. 0.13 ) ( D 0.17 ),Division
629,what percent of 400 is 1 1/3?,Multiplication
630,t would the percent change be? Final mass 1.00 Initial mass 0.92 S,Division
631,n the input shaft of a gear box was rotated 36 times it was found that the input shaft rotated 5.5 times . culate the gear ratio between input and output shafts correct to 2 decimal places,Division
632,u start with a # add 5 then multiply by 7 the result is 133. what was the original #,Addition
633,fill in the blank. 95% confidence is to 1.96 as 89% confidence is to ___?,Multiplication
634,A number cube with faces numbered 1 through 6 is rolled. What is the probability the number cube lands with a number greater than 4 face up?,Division
635,"O number line, there are 9 equal intervals between 0 and 1. if the square rot of x is on the sixth dash of the number line going from 0 to 1, what is the value of x ?",Multiplication
636,"the 16071 degrees in mathematics given by US colleges, 73% were bachelor's degrees, 21% were master's degrees, and the rest of doctorates. Women earned 48% of the bachelor's degrees, 42% of the master's degrees, and 29% of the doctorates. You choose a mathematics degree at random and find that it was awarded to a woman. What is the probability that it is a bachelor's degree?",Division
637,"Can you find the slope of the line that passes through the points (-6, -4) and (-2, 5)?",Division
638,"if i have two essays, one worth 30% and the other 70%. The pass mark is 40% but i have got 0 for the 30% essay leaving just the 70% essay to pass of. Is it possible to pass ? and if the 70% essay is out of 100, what mark would i need?",Multiplication
639,Which fraction is in simplest form? 8/10 4/16 9/25 15/63 or none of the above,Division
640,What is 4 2/3 subtracted from 5 1/5?,Subtraction
641,write 0.36 as a fraction?,Division
642,What is 10 with exponet of 7 divided by 10?,Subtraction
643,jarvis spent $1.04 on candy mints. Each mint cost less than $0.06. how many mints did he get? estimate: A 5 B 10 C 15 D 20,Division
644,What's 8.75% of $45?,Multiplication
645,"A man and a woman shared a lucky draw prize of $6000 in the ratio 2 : 3. The woman divides her part of the share among her mother, her two daughters and herself in the ratio 3 : 1 : 1 : 5. How much will her mother got?",Multiplication
646,Suppose that for a certain football game the probability that the home team will be aheahiat half-time is 0.60 and the probabilitrothat the home team will be ahead at halfotime as well as at the final e s 0.45. What is the probability that the home team will wi this game given that it is ahead at the half? A. B.. C.. D..,Division
647,is 60% of what number ? I,Multiplication
648,"What is the slope of the line passing through the points ( 7, 5 ) and ( 0, 0 )?",Division
649,"how many more bottles does she need to sell in order to make a profit of $100, a is selling botled water at a beachside stand. each botttle sells for 1.50 and cost 1.00 she has already sold 90.00.",Multiplication
650,t is 16% of 50?,Multiplication
651,"The perimeter of a church window is 60 inches. If the window is in the shape of a regular pentagon, what is the length of each side of the window? A. 12 inches B. 10 inches C. 6 inches C. 8 inches",Multiplication
652,"ere are the first five terms of a number sequence. 126 122 118 114 11.0 find the 21st term of the number sequence, the 20th term of the number sequence ibs up",Subtraction
653,"e fair dice were tossed, and the sum of the resulting tosses was recorded. This process was repeated 20,000 times using a computer simulation. The number of times the sum of the five tosses equaled 27 was 40. What is the estimated probability that the sum of the five dice will be 27?",Division
654,how many 30 cmx30cm boards fit in 36 square metres?,Multiplication
655,"the blueprint of a house, 33 millimeters represents 6 meters. The actual length of the living room is 5 meters. What is its length on the blueprint?",Multiplication
656,"At Johnson's general store, T-shirts are on sale at 2 for $5.50. At that rate, how much will 5 T-shirts cost?",Multiplication
657,ume that all variables represent positive real numbers (-ö_5)^2+(ö_5+ö_6)^2,Addition
658,e just ran a race that was 3500 meters long. How many kilometers was the race? 350 km .5 km 5 km .35 km,Division
659,"Sarah scored 80% on her recent math test. If there were 20 problems on the test, how many questions did she get correct?",Division
660,How long would a car travelling at 20 mph take to cover 18 miles?,Division
661,have to fill in the missing blanks. 3 7 13 21 ? 5 20 51 104 ?,Addition
662,"abel on a soup can is unrolled to form a rectangle. If the rectangle has an area of 144cm2 and a height of 12 cm, what is the circumference of the can?",Division
663,what would the answer be to 3ö_3 mulitplied by ö_2?,Multiplication
664,"Write a linear equation for a line that goes through (5, -8) and (-9, -8).",Addition
665,iece of metal 3 7/8 inches long is to be cut from a longer piece of 5 1/16 inches. What will be the length of the remaining piece?,Subtraction
666,"How many ways can 12 people be partitioned into three groups of four people? . 2000 . 34,650 . 17,320 . 5,775 . none of the above.",Division
667,"What's the next number?? 1, 2, 6, 42, 1806, ?",Multiplication
668,135 is what percentage of 150? Okay if something is 150 and is now 135 what is the percentage of loss?,Division
669,"What is 36,753 divided by 107?",Division
670,174 is what percent of 600?,Multiplication
671,"tie drives a gas tanker truck. Gertie's truck holds 1000 gallons of gas, which includes the gas necessary to operate the truck. Gerties truck is a gas guzzler and gets a galloping one mile per gallon. She needs to transport 3000 gallons of gas to a Galveston gas station 1000 miles away. She can store gas along the way as necessary to retrieve at a later time, but can't purchase any additional gas. What is the largest amount of gas Gertie can get to Galveston?",Division
672,"Ive exams tomorrow and they are worth 20% of my overall grade. if i have a 77 wh,at do i need to get on the exam to get at least an 80 as my final grade? t",Addition
673,"What is the Lowest Common Multiple (LCM) for 124, 56, 128 and 39?",Multiplication
674,"California Gold rush caused the population of San Fransisco to grow from 850 people in 1848 to 36,151 in 1852. What was the percent of increase in population of San Fransisco from 1848 to 1852?",Division
675,monique plans to decorate a rectangular flag with 4-inch square patches. The flag is 5 feet long and 4 feet wide. How many patches does it take?,Multiplication
676,"cost of making an article was increased and was divided b/w materials,wag es & overheads in the ratio 1:4: 5 . article was sold for $9.20, with a profit of 15%. Calculate the cost of making an article.",Division
677,What is 3 1/2 plus 2 1/8 equals?,Addition
678,"What is 10% of $3,860.26?",Multiplication
679,"How much is 3, 547 over the cell phone bill cost if its 0.40 cents for each additional call?",Multiplication
680,"If 1 pound is 20 shillings and 1 shilling is 12 pence, how many pences are in one pound?",Multiplication
681,"What is the greatest number less than 10000, which is exactly divisible by 48, 60 and 64?",Multiplication
682,"What is 38.8% of 9,144?",Multiplication
683,lim x-->0 (x*sin(x)) / (1 - cos(x)),Division
684,Probability of 2 dice sums equalling odd?,Division
685,"If you typed 225 words in 7 and a half minutes, how many words are you averaging per minute?",Division
686,he cost of building a bridge in 1995 was estimated to be å£$4 million. When it was finally completed in 1998 it's total cost amounted to $37.7 million. What was the percentage increase?,Division
687,iles = 8 km ow many miles in 60km?,Multiplication
688,"What is the smallest positive integer which has a remainder of one when divided by 2, 3, 4, 5, and 6?",Addition
689,What is the perimeter of a square that has the same area as a 2-inch by 8-inch rectangle?,Multiplication
690,"When the price for a color television is 240 dollars , the average monthly sales for this item at a departmentore is 500 . For each 10 dollar increase in price, the average monthly sales fall by 30 units. What is the average monthly sales if the price is 260 dollar per color television?",Subtraction
691,What is the original price before the 60% decrease if the new price is 840$?,Multiplication
692,What is 18/20 as percent? a.90% b.85% c.80% d.75%,Division
693,A metal rod has a length of 5m and a volume of 3750cm. What is the area of the cross-section?,Division
694,"ay I started with a full tank of gas and I traveled 120 miles (mostly freeway). A the end, I used up 4.79 gallons. Ga much mpg does my car get and how do I calculate it?",Division
695,find the product of greatest 3 digit number and smallest 4 digit number,Multiplication
696,"If the sales tax on a 30.00 item is 1.80, what is the sales tax rate?",Multiplication
697,3 is 0.2 percent of what number?,Multiplication
698,"There are total 90 boxes, and there is a gold box that you want to open. and you have 30 chances to open any boxes. Then what's the probability of getting the gold box?",Division
699,"a chemical is 42% pure. of 800 grams of the chemical, how much is pure?",Multiplication
700,"water costs &1.25 per 1000 gallons and a 1000 gallons is = to 7.58 cubic feet and i used 38,000 gallons of water in 6 months ho,w much should my water bill be?",Multiplication
701,have 2 box.first include 5 white card and 4 black and second include 7 white and 10 black.we choose 1 card from first box then put it into second without watching it.now we choose 1 card from second box so whats the probablity of the choosen card been white?,Addition
702,"There are 30 children in a class. 12 of them can play badminton, 8 of them can play table tennis. Find the greatest possible number of children that can play neither of the 2 games.",Subtraction
703,armer wishes to enclose a rectangular field of area 450 ft using an existing wall as one of the sides. The cost of the fence for the other 3 sides is $3 per foot. Find the dimensions that minimize the cost of the fence.,Division
704,long does it take tom to drive 135 miles on I205 if he merges on to it at 10AM and drives non stop with the cruse control at 60MPHompl,Division
705,"In a weekend baseball tourney joel had 4 hits 13 times at bat. That is, he hit safely 4/13 of the time? rite the decimal equivalent for joels hitting, rounding to three decimal places.",Division
706,divide the number 999999 with 99 .,Division
707,"Plane travels at about over L.A. at 560 km/hour and 3 hours later, travels over Chicago at about 600 km/hr. What is the acceleration of a plane?",Division
708,"What are the lowest common multiples of 625, and 30?",Multiplication
709,0.63 is equal to? .63% b 6.3% c.3% d630%,Division
710,The car Colleen is driving gets 30 1/3 miles per gallon of gas. She used 2 1/5 gallons of gas going from her home to her grandparents' home. She used another 3 3/10 gallons traveling from her grandparents' home to her cousin's apartment. What was the total distance Colleen drove?,Multiplication
711,182cm is how many feet?,Division
712,Find your percent correct on a test if you received 50 out of 75 possible. a.33% b.67% c. 25% d.30%,Division
713,"rushed-stone walk surrounds a circular flower bed that is 1m wide. If the area of the entire region is 21.98 må_, ind the radius of the flower bed to the nearest tenth of a meter. ""Use pi äö 3.14",Subtraction
714,"can i get the per cet of 200 to 30,000 ? l",Division
715,What decimal part of 240 is 160?,Division
716,strength of gravity on Earth relative to the moon is 6:1. How much would a person weigh on the moon if they weigh 180 pounds on Earth?,Division
717,Is 60 milliliters equal to 2 fluid ounces?,Multiplication
718,Paul invested $5000 in a time deposit. What interest will. he earn for 1 year if the interest rate is 6.5%?,Multiplication
719,ing costs $2.89 per square foot. What is the cost to tile a kitchen whose dimensions are 4 yards by 5 yards?,Multiplication
720,determine the lowest common denominator in the following fractions: 3/4 2/3 7/12 9/16,Multiplication
721,how long does it take to drive a mile on a moped that goes the speed of 20-25 mph.,Division
722,what is radical 75 + radical 48 over radical 3?,Addition
723,a man has a patio and he wants to cover it with bricks. the bricks cost 19 cent. the bricks are 6 inches by 12 inches. the patio is 3 ft by 4 ft. how many bricks does he need and how much will it cost.,Multiplication
724,How many litres of water must be added to 8 litres of a 40% acid solution to obtain a 10 % acid solution??,Multiplication
725,"convert .1803 to a fraction, but the 8 and 3 have a repeating bar over them.",Division
726,There are 4 sopranos and 7 altos in the choir. How many different soprano/alto duets can be formed?e 18 . 21 c 24 d 28,Multiplication
727,"how do you find a 2 digit number a multiple of both 3 and 4 the sum of its digits is 15, what is a prime numbe",Division
728,"whats the mean of this data 63, 71, 72, 77, 77, 78, 86, 77, 88, 88?",Division
729,what's 15% Of 500.00 or even 10 %?,Multiplication
730,the kitchen table is 4 ft wide and 6 ft wide. How many 1 ft square tiles will fit on top of the surface of table,Multiplication
731,"6 drums of oil will heat 5 identical buildings for 3 days, how many days will 10 drums of oil last when heating 2 of the same buildings? 10 B. 12 C) 12.5 D. 14.5 E. 18",Division
732,"there are 25 spots 800 possible people, what is the probability of getting a spot? the person can't be repicked rytime someone is picked in a spot, they are removed from the pool, i.e. 800...9..798..etc.",Division
733,"25 cents per square foot, I need 312 feet. what's the price?",Multiplication
734,"Round to tenths if necessary. The number of ballots cast in a parish election is 12,969, If the number registered voters in the parish is 19,800 what percent has voted? a. 65% b. 65.5%ac. 66% 66 2/3%",Division
735,ch ratio is not equal to 4/9? 45a.95 16b.36 8/c.8 2d.45,Division
736,The hanes own a 1 3/4-acre lot. If they buy an adjacent 2 1/3-acre lot how many acres will they own in all? a.3 1/12 b.3 1/4 c.3 4/7 d.4 1/12,Addition
737,if jared is turning 16 on august 4th 2008 what year was he born?,Subtraction
738,25.0 divided by 29.4?,Division
739,"What is this calculation? of å£6,$32,840.12",Division
740,how close is 3.22 cm to 4 cm?,Subtraction
741,what's the answer to this 3 times the cube root of 62 divided by 1009 then half then subtract 90123?,Subtraction
742,"In rays 8 hours work day, he works 79% of the day, and inspects other works 21% of the day, how many hours in his 8 hour work day does he inspect other workers?",Multiplication
743,I am a number less than 50. Two of my factors are 3 and 5. My digits are 1 apart. Who am I?,Multiplication
744,"How do you find the least or greatest in a group of decimals? roblem: 0.002, 0.0019, 0.0004",Division
745,tate is selected at random from the 50 states of the united states. what is the probability that it is 1 of the 6 new england states?,Division
746,"what is 33.3% of $36,000.00?",Multiplication
747,The average of 33 consecutive whole numbers is 58. What is the smallest of these whole numbers?,Subtraction
748,what percent is this 63 houses finished 28?,Division
749,what is 10% of 65?,Multiplication
750,ylindrical metal rod of radius 1 cm and length 80 cm is melted down and recast into a cylindrical rod of radius 2 cm. How long is the new rod?,Division
751,t is 0.378 as a fraction in its simplest form?,Multiplication
752,"In a city-wide survey, bicycle owners were asked how many bicycles they owned and whether any had been stolen during previous year.The results indicated that people in the city owned 9017 bicycles and of these 450 had been stolen. Based on this info, which statement is most reasonable? A- No bicycle owners will have their bicycles stolen this year B- All bicycle owners will have their bicycles stolen this year C- The probability that any one bicyle will be stolen is about 1/5. D- The probability that anyone bicycle will be stolen is about 1/20",Division
753,"What is 2.8% of $29,205.24?",Multiplication
754,what is 46 divided by 3 1/2?,Division
755,"If a diagonal in a rectangle is 90 m long, how long would a bisected piece of the diagonal be? a.m 60b.m 45c.m 37d.5 m",Division
756,team b is 4 1/2 games behind team a in the standings. Team c is 2 1/2 games behind team b.HHw many games? nd team a is team c?,Addition
757,A machine runs on a mixture of petrol and ethanol mixed in the ratio 11 : 3. How much petrol is needed to mix 10 liters if it is to be added to an existing 5 liters mixed in the ratio 3 : 1?,Subtraction
758,what is the least common multiple for 24 48 58?,Multiplication
759,"t is 0.27 percent of 400,000???",Multiplication
760,"2-ounce box of corn muffins cereal costs $2.50. At that rate, how much does an 1-ounce box of corn muffins cereal cost?",Division
761,ectangle had an area of 8cmå_. f the length is 6 2/5 (Six and Two Fiths) what is the width?,Multiplication
762,how to work out percentages and what is 10 % out of 18. xxxx,Multiplication
763,"there are schools in a city that have internet access there are 21733 elementary schools, 7286 secondary schools and 10682 high schools that have internet access. There is a total of 51745 elementary schools, 14012 secondary schools and 17229 high schools. if you were to visit an elementary school what probability do you have to find internet access?",Division
764,04-May,Division
765,Approximately what percentage is equal to 1/6? A: 17% B: 15% C: 20% D: 25%,Division
766,a watch lost 1 minute and 12 seconds in 24 days how many seconds did it loose per day?,Division
767,"ngle1 and angle2 are complementary angles. given the measure of angle1, find angle2. angle1-=3d egrees",Subtraction
768,when numbers are divided by 24 the qutient is 7 and remainder is 13 find the number?,Addition
769,The odds in favor of an event E occurring are 11 to 8. What is the probability of E occurring? (Round your answer to three decimal places.),Division
770,"car travels at 96 miles an hour for 40 minutes, how many miles has the car traveled in this time?",Addition
771,A small farming community in Texas covers 14 square kilometers. There are 420 individuals who live within the town limits. What is the population density of this community? a. 0.03 individuals per square kilometer. b. 53 individuals per square kilometer. c. 30 individuals per square kilometer. d. 10.24 individuals per square kilometer.,Division
772,"What is the LCM (Least Common Multiple) for 19, 38, 29?",Multiplication
773,"Chris's credit card has a restriction that he must pay either 10% of the unpaid balance or $25, whichever is greater. Which will he pay if he has an unpaid balance of $237?",Multiplication
774,Multiply. Write your answer as a mixed number in simplest form. 1 1/7 x 3 1/4,Multiplication
775,hat is 75% of 28,Multiplication
