,question,equations,operation,answers
546,Tom found 7 seashells but 4 were broken . How many unbroken seashells did Tom find ?,x=7-4,Subtraction,3.0
547,Sally picked 7 lemons and Mary picked 9 lemons from the lemon tree . How many lemons were picked in total ?,x=7+9,Addition,16.0
548,A restaurant served 6 cakes during lunch and 9 during dinner today . How many cakes were served today ?,x=6+9,Addition,15.0
549,Joan has 8 orange balloons but lost 2 of them . How many orange balloons does Joan have now ?,x=8-2,Subtraction,6.0
550,Fred had 7 dimes in his bank . His sister borrowed 3 of his dimes . How many dimes does Fred have now ?,x=7-3,Subtraction,4.0
551,Joan 's cat had 8 kittens . She gave 2 to her friends . How many kittens does she have now ?,x=8-2,Subtraction,6.0
552,There are 34 dogwood trees currently in the park . Park workers will plant 49 dogwood trees today . How many dogwood trees will the park have when the workers are finished ?,x=34+49,Addition,83.0
553,There are 27 pencils in the drawer . Nancy placed 45 pencils in the drawer . How many pencils are now there in total ?,x=27+45,Addition,72.0
554,"Sam found 35 seashells on the beach , he gave Joan 18 of the seashells . How many seashells does he now have ?",x=35-18,Subtraction,17.0
555,Tim has 22 books . Mike has 20 books . How many books do they have together ?,x=22+20,Addition,42.0
556,Mike has 87 baseball cards . Sam bought 13 of Mike 's baseball cards . How many baseball cards does Mike have now ?,x=87-13,Subtraction,74.0
557,Sandy grew 51 pumpkins . Mike grew 23 pumpkins . How many pumpkins did they grow in total ?,x=51+23,Addition,74.0
558,Tim has 44 books . Sam has 52 books . How many books do they have together ?,x=44+52,Addition,96.0
559,"Dan has 64 violet marbles , he gave Mary 14 of the marbles . How many violet marbles does he now have ?",x=64-14,Subtraction,50.0
560,There are 25 popular trees currently in the park . Park workers will plant 73 popular trees today . How many popular trees will the park have when the workers are finished ?,x=25+73,Addition,98.0
561,There are 54 scissors in the drawer . Keith placed 22 scissors in the drawer . How many scissors are now there in all ?,x=54+22,Addition,76.0
562,Alyssa picked 42 pears and Nancy picked 17 pears from the pear tree . How many pears were picked in all ?,x=42+17,Addition,59.0
563,Sam had 98 pennies in his bank . He spent 93 of his pennies . How many pennies does he have now ?,x=98-93,Subtraction,5.0
564,"Joan found 79 seashells on the beach , she gave Mike 63 of the seashells . How many seashells does she now have ?",x=79-63,Subtraction,16.0
565,Sam has 110 books . Joan has 102 books . How many books do they have together ?,x=110+102,Addition,212.0
566,Mary picked 122 oranges and Jason picked 105 oranges from the orange tree . How many oranges were picked in total ?,x=122+105,Addition,227.0
567,Sally had 760 quarters in her bank . She spent 418 of her quarters . How many quarters does she have now ?,x=760-418,Subtraction,342.0
568,Melanie grew 139 turnips . Benny grew 113 turnips . How many turnips did they grow in all ?,x=139+113,Addition,252.0
569,Jason has 676 Pokemon cards . Alyssa bought 224 of Jason 's Pokemon cards . How many Pokemon cards does Jason have now ?,x=676-224,Subtraction,452.0
570,There are 107 walnut trees currently in the park . Park workers will plant 104 walnut trees today . How many walnut trees will the park have when the workers are finished ?,x=107+104,Addition,211.0
571,"Fred has 709 green balloons , he gave Sandy 221 of the balloons . How many green balloons does he now have ?",x=709-221,Subtraction,488.0
572,There are 115 pencils in the drawer . Sara placed 100 pencils in the drawer . How many pencils are now there in all ?,x=115+100,Addition,215.0
573,Jason has 3 Pokemon cards . Benny bought 2 of Jason 's Pokemon cards . How many Pokemon cards does Jason have now ?,x=3-2,Subtraction,1.0
574,"Mike has 8 orange marbles , he gave Sam 4 of the marbles . How many orange marbles does he now have ?",x=8-4,Subtraction,4.0
575,Joan had 5 dimes in her bank . She spent 2 of her dimes . How many dimes does she have now ?,x=5-2,Subtraction,3.0
576,There are 2 orchid bushes currently in the park . Park workers will plant 4 orchid bushes today . How many orchid bushes will the park have when the workers are finished ?,x=2+4,Addition,6.0
577,Sara picked 6 pears and Tim picked 5 pears from the pear tree . How many pears were picked in total ?,x=6+5,Addition,11.0
578,"Sam grew 4 watermelons , but the rabbits ate 3 watermelons . How many watermelons does Sam have ?",x=4-3,Subtraction,1.0
579,Jason had Pokemon cards . He gave 9 to his friends . He now has 4 Pokemon cards . How many Pokemon cards did he have to start with ?,x-9=4,Subtraction,13.0
580,Mary had 7 nickels in her bank . Her dad gave her 5 nickels . How many nickels does Mary have now ?,x=7+5,Addition,12.0
581,Keith grew 6 turnips . Alyssa grew 9 turnips . How many turnips did they grow in all ?,x=6+9,Addition,15.0
582,Mary has 9 yellow marbles Joan has 3 yellow marbles . How many yellow marbles do they have in all ?,x=9+3,Addition,12.0
583,Sally grew 6 carrots . Fred grew 4 carrots . How many carrots did they grow in all ?,x=6+4,Addition,10.0
584,Tom found 5 seashells on the beach . he gave Jessica 2 of the seashells . How many seashells does he now have ?,x=5-2,Subtraction,3.0
585,Fred has 5 baseball cards . Melanie bought 3 of Fred 's baseball cards . How many baseball cards does Fred have now ?,x=5-3,Subtraction,2.0
586,Mary had 8 potatoes in the garden . The rabbits ate 3 of the potatoes . How many potatoes does Mary now have ?,x=8-3,Subtraction,5.0
587,There are 9 oak trees currently in the park . Park workers had to cut down 2 oak trees that were damaged . How many oak trees will the park have when the workers are finished ?,x=9-2,Subtraction,7.0
588,Jessica had 8 quarters in her bank . Her sister borrowed 3 of her quarters . How many quarters does Jessica have now ?,x=8-3,Subtraction,5.0
589,A restaurant made 9 hamburgers to serve during lunch . Only 3 were actually served . How many hamburgers were over from lunch ?,x=9-3,Subtraction,6.0
590,There are 7 crayons in the drawer . Mary took 3 crayons out of the drawer . How many crayons are there now ?,x=7-3,Subtraction,4.0
591,Dan picked 9 limes and gave Sara 4 of the limes . How many limes does Dan have now ?,x=9-4,Subtraction,5.0
592,Joan has 9 blue balloons but lost 2 of them . How many blue balloons does Joan have now ?,x=9-2,Subtraction,7.0
593,"Joan picked 43 apples from the orchard , and gave 27 apples to Melanie . How many apples does Joan have now ?",x=43-27,Subtraction,16.0
594,"Tom has 30 violet balloons , he gave Fred 16 of the balloons . How many violet balloons does he now have ?",x=30-16,Subtraction,14.0
595,Fred has 40 baseball cards . Keith bought 22 of Fred 's baseball cards . How many baseball cards does Fred have now ?,x=40-22,Subtraction,18.0
596,"Fred found 47 seashells on the beach , he gave Jessica 25 of the seashells . How many seashells does he now have ?",x=47-25,Subtraction,22.0
597,"Sara grew 43 pumpkins , but the rabbits ate 23 pumpkins . How many pumpkins does Sara have ?",x=43-23,Subtraction,20.0
598,Joan decided to sell all of her old books . She gathered up 33 books to sell . She sold 26 books in a yard sale . How many books does Joan now have ?,x=33-26,Subtraction,7.0
599,There are 46 rulers in the drawer . Tim took 25 rulers from the drawer . How many rulers are now in the drawer ?,x=46-25,Subtraction,21.0
600,There are 33 oak trees currently in the park . Park workers had to cut down 18 oak trees that were damaged . How many oak trees will be in the park when the workers are finished ?,x=33-18,Subtraction,15.0
601,"Joan purchased a basketball game for $ 5.20 , and a racing game for $ 4.23 . How much did Joan spend on video games ?",x=5.20+4.23,Addition,9.43
602,"Mike joined his school 's band . He bought a trumpet for $ 145.16 , and a song book which was $ 5.84 . How much did Mike spend at the music store ?",x=145.16+5.84,Addition,151.0
603,"Alyssa bought some toys . She bought a football for $ 5.71 , and spent $ 6.59 on marbles . In total , how much did Alyssa spend on toys ?",x=5.71+6.59,Addition,12.3
604,"Jessica spent $ 10.22 on a cat toy , and a cage cost her $ 11.73 . What was the total cost of Jessica 's purchases ?",x=10.22+11.73,Addition,21.95
605,Sara got fast food for lunch . Sara spent $ 5.36 on a hotdog and $ 5.10 on a salad . What was the total of the lunch bill ?,x=5.36+5.10,Addition,10.46
606,"Jason went to the mall on Saturday to buy clothes . He spent $ 14.28 on shorts and $ 4.74 on a jacket . In total , how much money did Jason spend on clothing ?",x=14.28+4.74,Addition,19.02
607,"Alyssa loves eating fruits . Alyssa paid $ 12.08 for grapes , and $ 9.85 for cherries . In total , how much money did Alyssa spend ?",x=12.08+9.85,Addition,21.93
608,"A ship is filled with 5973 tons of cargo . It stops in the Bahamas , where sailors load 8723 tons of cargo onboard . How many tons of cargo does the ship hold now ?",x=5973.0+8723.0,Addition,14696.0
609,"Before December , customers buy 1346 ear muffs from the mall . During December , they buy 6444 , and there are none . In all , how many ear muffs do the customers buy ?",x=1346.0+6444.0,Addition,7790.0
610,"Diane is a beekeeper . Last year , she harvested 2479 pounds of honey . This year , she bought some new hives and increased her honey harvest by 6085 pounds . How many pounds of honey did Diane harvest this year ?",x=2479.0+6085.0,Addition,8564.0
611,"An oil pipe in the sea broke . Before engineers started to fix the pipe , 6522 liters of oil leaked into the water . While the engineers worked , the pipe leaked 5165 liters of oil . In all , how many liters of oil leaked into the water ?",x=6522.0+5165.0,Addition,11687.0
612,A car company produced 3884 cars in North America and 2871 cars in Europe . How many cars is that in all ?,x=3884.0+2871.0,Addition,6755.0
613,"Abe 's family moved from the Bahamas to Japan , so they had convert their money into Japanese yen . Their checking account now has 6359 yen and their savings account now has 3485 yen . How many yen do they have ?",x=6359.0+3485.0,Addition,9844.0
614,"There are 1986 books in Oak Grove 's public library . In addition , there are 5106 books in its school libraries . How many books do the libraries in Oak Grove have overall ?",x=1986.0+5106.0,Addition,7092.0
615,"There were originally 20817 houses in Lincoln County . During a housing boom , developers built 97741 . How many houses are there now in Lincoln County ?",x=20817.0+97741.0,Addition,118558.0
616,"A farmer estimates that he will harvest 48097 bushels of wheat . The weather is perfect during the growing season , so he harvests 684 bushels of wheat than expected . How many bushels of wheat does the farmer harvest ?",x=48097.0+684.0,Addition,48781.0
617,"Christina just transferred $ 69 out of her bank account . As a result , the account now has $ 26935 in it . How much money was in the account before the transfer ?",x=69.0+26935.0,Addition,27004.0
618,"Last year at Newberg 's airport , 14507 passengers landed on time . Unfortunately , 213 passengers landed late . In all , how many passengers landed in Newberg last year ?",x=14507.0+213.0,Addition,14720.0
619,"A dust storm sweeps across the prairie . It covers 64535 acres of the prairie in dust , but leaves 522 acres untouched . How many acres does the prairie cover ?",x=64535.0-522.0,Subtraction,64013.0
620,"Some insects called aphids attack a large farm . In response , the farmer releases ladybugs onto the fields . There are 12170 ladybugs with spots and 54912 ladybugs without spots . How many ladybugs are there in all ?",x=12170.0+54912.0,Addition,67082.0
621,"Last year , 90171 people were born in a country , and 16320 people immigrated to it . How many new people began living in the country last year ?",x=90171.0+16320.0,Addition,106491.0
622,"A ship full of grain crashes into a coral reef . By the time the ship is fixed , 49952 tons of grain have spilled into the water . Only 918 tons of grain remain onboard . How many tons of grain did the ship originally contain ?",x=49952.0+918.0,Addition,50870.0
623,"To fill an order , the factory dyed 61921 yards of silk green and 49500 yards pink . How many yards of silk did it dye for that order ?",x=61921.0+49500.0,Addition,111421.0
624,A multi-national corporation has 2041 part-time employees and 63093 full-time employees . How many employees work for the corporation ?,x=2041.0+63093.0,Addition,65134.0
625,"Each year , salmon travel upstream , going from the ocean to the rivers where they were born . This year , 712261 male and 259378 female salmon returned to their rivers . How many salmon made the trip ?",x=712261.0+259378.0,Addition,971639.0
626,"A bathing suit manufacturer has a supply of 14797 bathing suits for men . In addition , it has 4969 bathing suits for women . How many bathing suits are available overall ?",x=14797.0+4969.0,Addition,19766.0
627,"Before the recent housing boom , there were 1426 houses in Lawrence County . Now , there are 2000 houses . How many houses did developers build during the housing boom ?",x=2000.0-1426.0,Subtraction,574.0
628,"So far , an orchard has sold a combined total of 9792 pounds of fresh and frozen fruit this season . If they have sold 3513 pounds of frozen fruit , how many pounds of fresh fruit have been sold so far ?",x=9792.0-3513.0,Subtraction,6279.0
629,"Recently , the value of Kate 's retirement fund decreased by $ 12 . If her fund was worth $ 1472 before , how much is it worth now ?",x=1472.0-12.0,Subtraction,1460.0
630,"The Richmond Tigers sold a total of 9570 tickets last season . If they sold 3867 tickets in the first half of the season , how many tickets did they sell in the second half ?",x=9570.0-3867.0,Subtraction,5703.0
631,A petri dish originally contained 600 bacteria . A scientist let the bacteria grow and now there are 8917 of them . How many more bacteria are there now ?,x=8917.0-600.0,Subtraction,8317.0
632,"Tori is a school janitor . Last week , she picked up a total of 1576 pieces of trash . If she picked up 344 pieces of trash in the classrooms , how many pieces of trash did Tori pick up outside the classrooms ?",x=1576.0-344.0,Subtraction,1232.0
633,"Molly owns the Wafting Pie Company . This morning , her employees used 816 eggs to bake pumpkin pies . If her employees used a total of 1339 eggs today , how many eggs did they use in the afternoon ?",x=1339.0-816.0,Subtraction,523.0
634,Each of farmer Cunningham 's 6048 lambs is either black or white . There are 193 white ones . How many of Farmer Cunningham 's lambs are black ?,x=6048.0-193.0,Subtraction,5855.0
635,"Students at Arcadia schools are participating in a coat drive . 9437 coats have been collected so far . 6922 coats were collected from the high schools , and the rest from the elementary schools . How many coats were collected at the elementary schools ?",x=9437.0-6922.0,Subtraction,2515.0
636,"A company painted some houses in Hancock County white and blue using a total of 6689 gallons of paint . If they used 660 gallons of white paint , how many gallons of blue paint did the company use ?",x=6689.0-660.0,Subtraction,6029.0
637,The Silvergrove Public Library used a grant to purchase 2647 books . Now the library has a total of 8582 books . How many books did the library have before the grant ?,x=8582.0-2647.0,Subtraction,5935.0
638,"A cell phone company has a total of 7422 customers across the world . If 723 of its customers live in the United States , how many of its customers live in other countries ?",x=7422.0-723.0,Subtraction,6699.0
639,"Last year , egg producers in Douglas County produced 1416 eggs . This year , those same farms produced 4636 eggs . How many more eggs did the farms produce this year ?",x=4636.0-1416.0,Subtraction,3220.0
640,"An oil pipe in the sea broke . Before engineers started to fix the pipe , 2475 gallons of oil leaked into the water . A total of 6206 gallons of oil leaked before the pipe was fixed . How many gallons of oil leaked while the engineers were fixing the pipe ?",x=6206.0-2475.0,Subtraction,3731.0
641,"A treasure hunter discovered a buried treasure chest filled with a total of 5155 gems . 45 of the gems were diamonds , and the rest were rubies . How many of the gems were rubies ?",x=5155.0-45.0,Subtraction,5110.0
642,"Shannon and her family use up a lot of strawberry and blueberry jelly , since they eat toast every morning . At the moment , they have a combined total of 6310 grams of jelly . If they have 4518 grams of blueberry jelly , how many grams of strawberry jelly do they have ?",x=6310.0-4518.0,Subtraction,1792.0
643,"While playing a video game , Paul scored 3103 points . He and his cousin together have a total of 5816 points . How many points does Paul 's cousin have ?",x=5816.0-3103.0,Subtraction,2713.0
644,"A construction company is repaving a damaged road . So far , they have repaved a total of 4938 inches of the road . Today , they repaved 805 inches of the road . How many inches of the road had they repaved before today ?",x=4938.0-805.0,Subtraction,4133.0
645,"Milford Lake was originally blue because it only had 809 algae plants . Now there are 3263 algae plants , and the lake has turned green . How many more algae plants are in Milford Lake now ?",x=3263.0-809.0,Subtraction,2454.0
646,Oscar 's bus ride to school is 0.75 mile and Charlie 's bus ride is 0.25 mile . How much longer is Oscar 's bus ride than Charlie 's ?,x=0.75-0.25,Subtraction,0.5
647,"Karen added 0.25 cup of walnuts to a batch of trail mix . Later , she added 0.25 cup of almonds . How many cups of nuts did Karen put in the trail mix in all ?",x=0.25+0.25,Addition,0.5
648,"Kendall is learning to drive , so this weekend she practiced driving 0.16666666666666666 mile with her mother and another 0.5 mile with her father . How far did Kendall drive in all ?",x=0.16666666666666666+0.5,Addition,0.6666666666666666
649,"At a pie-eating contest , Erik got through 0.6666666666666666 pie before time was called ; Frank finished just 0.3333333333333333 pie . How much more pie did Erik eat than Frank ?",x=0.6666666666666666-0.3333333333333333,Subtraction,0.3333333333333333
650,A tailor cut 0.75 inch off a skirt and 0.5 inch off a pair of pants . How much more did the tailor cut off the skirt than the pants ?,x=0.75-0.5,Subtraction,0.25
651,"At Lindsey 's Vacation Wear , 0.375 the garments are bikinis and 0.25 are trunks . What fraction of the garments are either bikinis or trunks ?",x=0.375+0.25,Addition,0.625
652,Darnel sprinted 0.875 lap and then took a break by jogging 0.75 lap . How much farther did Darnel sprint than jog ?,x=0.875-0.75,Subtraction,0.125
653,Hannah 's Vegetarian Restaurant bought 0.3333333333333333 pound of green peppers and 0.3333333333333333 pound of red peppers . How many pounds of peppers did Hannah 's Vegetarian Restaurant buy in all ?,x=0.3333333333333333+0.3333333333333333,Addition,0.6666666666666666
654,"Blake filled a bucket with 0.8 gallon of water . Later , he poured out 0.2 gallon of the water . How much water is in the bucket ?",x=0.8-0.2,Subtraction,0.6
655,Mandy made an apple pie . She used 0.6666666666666666 tablespoon of cinnamon and 0.5 tablespoon of nutmeg . How much more cinnamon than nutmeg did Mandy use ?,x=0.6666666666666666-0.5,Subtraction,0.16666666666666666
656,"The Montoya family spends 0.6 their budget on groceries and another 0.2 going out to eat . Altogether , what fraction of their budget does the Montoya family spend on food ?",x=0.6+0.2,Addition,0.8
657,"In Mr. Olsen 's mathematics class , 0.7 the students received A 's and 0.2 received B 's . What fraction of the students received either A 's or B 's ?",x=0.7+0.2,Addition,0.9
658,"There is 0.16666666666666666 cup of oil in Scarlett 's measuring cup . If Scarlett adds 0.6666666666666666 cup more , how much oil will be in the measuring cup ?",x=0.16666666666666666+0.6666666666666666,Addition,0.8333333333333334
659,Stanley ran 0.4 mile and walked 0.2 mile . How much farther did Stanley run than walk ?,x=0.4-0.2,Subtraction,0.2
660,Dina made cookies . She used 0.625 cup of flour and 0.25 cup of sugar . How much more flour than sugar did Dina use ?,x=0.625-0.25,Subtraction,0.375
661,"Each day , the polar bear at Richmond 's zoo eats 0.2 bucket of trout and 0.4 bucket of salmon . How many buckets of fish does the polar bear eat daily ?",x=0.2+0.4,Addition,0.6
662,Jenny ran 0.6 mile and walked 0.4 mile . How much farther did Jenny run than walk ?,x=0.6-0.4,Subtraction,0.2
663,0.5 the students in the band are in the trumpet section . 0.125 the students in the band are in the trombone section . What fraction of the students in the band are in either the trumpet section or the trombone section ?,x=0.5+0.125,Addition,0.625
664,Scarlett made a fruit salad with 0.25 pound of melon and 0.375 pound of berries . How many pounds of fruit did Scarlett use in all ?,x=0.25+0.375,Addition,0.625
665,Vince 's bus ride to school is 0.625 mile and Zachary 's bus ride is 0.5 mile . How much longer is Vince 's bus ride than Zachary 's ?,x=0.625-0.5,Subtraction,0.125
666,Elizabeth went to the salon and had 0.375 inch of hair cut off . The next day she went back and asked for another 0.5 inch to be cut off . How much hair did she have cut off in all ?,x=0.375+0.5,Addition,0.875
667,"At the beach , Miki and her sister both built sandcastles and then measured their heights . Miki 's sandcastle was 0.8333333333333334 foot tall and her sister 's was 0.5 foot tall . How much taller was Miki 's sandcastle than her sister 's ?",x=0.8333333333333334-0.5,Subtraction,0.3333333333333333
668,"Michelle began her pizza delivery route with 0.5 tank of gas in her car . When she made it back to the pizzeria , 0.16666666666666666 tank of gas was . How much gas did Michelle use ?",x=0.5-0.16666666666666666,Subtraction,0.3333333333333333
669,"While taking inventory at her pastry shop , Kelly realizes that she had 0.4 box of baking powder yesterday , but the supply is now down to 0.3 box . How much more baking powder did Kelly have yesterday ?",x=0.4-0.3,Subtraction,0.1
670,Craig walked 0.2 mile from school to David 's house and 0.7 mile from David 's house to his own house . How many miles did Craig walk in all ?,x=0.2+0.7,Addition,0.9
671,Greg and Sharon own neighboring cornfields . Greg harvested 0.4 acre of corn on Monday and Sharon harvested 0.1 acre . How many more acres did Greg harvest than Sharon ?,x=0.4-0.1,Subtraction,0.3
672,"While making desserts for a bake sale , Victor used 0.625 scoop of brown sugar as well as 0.25 scoop of white sugar . How much more brown sugar did Victor use ?",x=0.625-0.25,Subtraction,0.375
673,Eve ran 0.7 mile and walked 0.6 mile . How much farther did Eve run than walk ?,x=0.7-0.6,Subtraction,0.1
674,Jonah added 0.3 cup of yellow raisins and 0.4 cup of black raisins to a batch of trail mix . How many cups of raisins did Jonah add in all ?,x=0.3+0.4,Addition,0.7
675,In Yardley it snowed 0.125 inch in the morning and 0.5 inch in the afternoon . What was the total amount of snowfall ?,x=0.125+0.5,Addition,0.625
676,"While making pastries , a bakery used 0.2 bag of wheat flour and 0.1 bag of white flour . How many bags of flour did the bakery use in all ?",x=0.2+0.1,Addition,0.3
677,"Kaleen filled a bucket with 0.75 gallon of water . A few minutes later , she realized only 0.5 gallon of water remained . How much water had leaked out of the bucket ?",x=0.75-0.5,Subtraction,0.25
678,"Carefully following a recipe , Kenny used exactly 0.16666666666666666 cup of oil and 1.1666666666666667 cups of water . How many cups of liquid did Kenny use in all ?",x=0.16666666666666666+1.1666666666666667,Addition,1.3333333333333333
679,Dale 's Vegetarian Restaurant bought 2.8333333333333335 pounds of green peppers and 2.8333333333333335 pounds of red peppers . How many pounds of peppers did Dale 's Vegetarian Restaurant buy in all ?,x=2.8333333333333335+2.8333333333333335,Addition,5.666666666666667
680,"This afternoon Craig left school , rode the bus 3.8333333333333335 miles , and then walked 0.16666666666666666 mile to get home . How much farther did Craig ride than walk ?",x=3.8333333333333335-0.16666666666666666,Subtraction,3.6666666666666665
681,Kelly 's chemistry textbook weighs 7.125 pounds and her geometry textbook weighs 0.625 pound . How much more does the chemistry textbook weigh than the geometry textbook ?,x=7.125-0.625,Subtraction,6.5
682,Roadster 's Paving Company used 10 tons of cement to pave Lexi 's street and 5.1 tons of cement to pave Tess 's street . How much cement did Roadster 's Paving Company use in all ?,x=10.0+5.1,Addition,15.1
683,"On a hot day , Sam poured 1 bucket of water into a plastic wading pool . A few minutes later he added another 8.8 buckets . How much water did Sam pour into the pool ?",x=1.0+8.8,Addition,9.8
684,Kyle jogged 1.125 laps in P.E. class and 2.125 laps during track practice . How many laps did Kyle jog in all ?,x=1.125+2.125,Addition,3.25
685,"A bucket contains 3 gallons of water . If Derek adds 6.8 gallons more , how many gallons will there be in all ?",x=3.0+6.8,Addition,9.8
686,"At a pizza party , Mason and his friends drank 2.6666666666666665 bottles of lemon-lime soda and 2.6666666666666665 bottles of cola . How much soda did they drink in all ?",x=2.6666666666666665+2.6666666666666665,Addition,5.333333333333333
687,"As part of a lesson on earthquakes , a science class is researching the movement of a nearby fault line . The fault line moved 1.25 inches during the past year and 5.25 inches the year before . How far did the fault line move in all ?",x=1.25+5.25,Addition,6.5
688,"Hoping to be named Salesperson of the Month , Rosa called the names from 10.2 pages of the phone book last week . This week , she called the people listed on another 8.6 pages of the same phone book . How many pages worth of people did Rosa call in all ?",x=10.2+8.6,Addition,18.8
689,"At the beach , Janet and her sister both built sandcastles and then measured their heights . Janet 's sandcastle was 3.6666666666666665 feet tall and her sister 's was 2.3333333333333335 feet tall . How much taller was Janet 's sandcastle than her sister 's ?",x=3.6666666666666665-2.3333333333333335,Subtraction,1.3333333333333333
690,Nicole found an orange caterpillar and a green caterpillar in her backyard . The green caterpillar was 3 inches long and the orange caterpillar was 1.1666666666666667 inches long . How much longer was the green caterpillar than the orange caterpillar ?,x=3.0-1.1666666666666667,Subtraction,1.8333333333333335
691,Alec and his roommates ate 3.25 pints of ice cream on Friday night and 0.25 pint of ice cream on Saturday night . How many pints did they eat in all ?,x=3.25+0.25,Addition,3.5
692,"A farmer started the day with 8.75 buckets of seeds . After spending the morning sowing seeds , she now has 6 buckets . How many buckets of seeds did the farmer sow ?",x=8.75-6.0,Subtraction,2.75
693,Irene just bought a new lamp for her bedside table . The old lamp was 1 foot tall and the new lamp is 2.3333333333333335 feet tall . How much taller is the new lamp than the old lamp ?,x=2.3333333333333335-1.0,Subtraction,1.3333333333333333
694,Ezra drew a white line that was 7.666666666666667 inches long . Then he drew a blue line that was 3.3333333333333335 inches long . How much longer was the white line than the blue line ?,x=7.666666666666667-3.3333333333333335,Subtraction,4.333333333333333
695,"There are 7.75 gallons of water in Becky 's fish tank . If Becky adds 7 gallons more , how many gallons will there be in all ?",x=7.75+7.0,Addition,14.75
696,Wendy ran 19.833333333333332 miles and walked 9.166666666666666 miles . How much farther did Wendy run than walk ?,x=19.833333333333332-9.166666666666666,Subtraction,10.666666666666666
697,Kenji and his classmates placed colored blocks on a scale during a science lab . The yellow block weighed 0.6 pounds and the green block weighed 0.4 pounds . How much more did the yellow block weigh than the green block ?,x=0.6-0.4,Subtraction,0.2
698,"Terrell hiked 8.2 miles on Saturday . Then , on Sunday , he hiked another 1.6 miles . How far did Terrell hike all together ?",x=8.2+1.6,Addition,9.8
699,A carpenter bought a piece of wood that was 0.41 meters long . Then she sawed 0.33 meters off the end . How long is the piece of wood now ?,x=0.41-0.33,Subtraction,0.08
700,Kelly bought 0.1 pounds of peanuts and 0.4 pounds of raisins . How many pounds of snacks did she buy in all ?,x=0.1+0.4,Addition,0.5
701,In March it rained 0.81 inches . It rained 0.35 inches less in April than in March . How much did it rain in April ?,x=0.81-0.35,Subtraction,0.46
702,"A bee colony produced 0.36 pounds of honey , but bears ate 0.05 pounds of it . How much honey remains ?",x=0.36-0.05,Subtraction,0.31
703,"It rained 0.9 inches on Monday . On Tuesday , it rained 0.7 inches less than on Monday . How much did it rain on Tuesday ?",x=0.9-0.7,Subtraction,0.2
704,Brennan had 0.25 grams of pepper . Then he used 0.16 grams of the pepper to make some scrambled eggs . How much pepper does Brennan have ?,x=0.25-0.16,Subtraction,0.09
705,A construction company bought 5.91 tons of gravel and 8.11 tons of sand . How many tons of material did the company buy in all ?,x=5.91+8.11,Addition,14.02
706,It rained 0.2 inches on Saturday and 0.4 inches on Sunday . How much did it rain on Saturday and Sunday combined ?,x=0.2+0.4,Addition,0.6
707,"Pamela bought 9.8 ounces of sugar , and she spilled 5.2 ounces of it on the floor . How much is ?",x=9.8-5.2,Subtraction,4.6
708,Gordon bought 3.42 pounds of fruit for a class party . The class ate 2.2 pounds of the fruit . How much fruit is ?,x=3.42-2.2,Subtraction,1.22
709,A chef bought 0.14 kilograms of almonds and 0.38 kilograms of pecans . How many kilograms of nuts did the chef buy in all ?,x=0.14+0.38,Addition,0.52
710,A truck carrying 4.1 pounds of sand travels to a construction yard and loses 2.4 pounds of sand along the way . How much sand does the truck have when it arrives at the yard ?,x=4.1-2.4,Subtraction,1.7
711,Tori was 4.4 feet tall . Then she grew 2.86 feet taller . How tall is Tori now ?,x=4.4+2.86,Addition,7.26
712,A carpenter bought a piece of wood that was 8.9 centimeters long . Then he sawed 2.3 centimeters off the end . How long is the piece of wood now ?,x=8.9-2.3,Subtraction,6.6
713,"Dan spent $ 11.76 on a snake toy , and a cage cost him $ 14.54 . Dan also found a dollar bill on the ground . What was the total cost of Dan 's purchases ?",x=11.76+14.54,Addition,26.3
714,The sum of 20 and a number is 30. What is the number?,20.0+number=30.0,Addition,10.0
715,A grocery store is selling hamburger for 1.89 dollars per pound. This is 0.28 dollars less than the price at a competitor 's store. Find the price at the competitor 's store.,1.89=competitor-0.28,Subtraction,2.17
716,"A physician 's assistant measures a child and finds that his height is 41.5 inches. At his last visit to the doctor's office , the child was 38.5 inches tall. How much did the child grow , in inches?",growth=41.5-38.5,Subtraction,3.0
717,"At the carnival , tickets for the rides are 0.75 dollars each , or you can buy an armband for 15 dollars and ride unlimited for one night. At how many rides does the armband cost the same as buying individual tickets?",0.75*rides=15.0,Multiplication,20.0
718,A 12 ounce can of cranberry juice sells for 84 cents. Give the unit cost in cents per ounce.,cost=84.0/12.0,Division,7.0
719,"The tallest player on the basketball team is 77.75 inches tall. This is 9.5 inches taller than the shortest player. How tall is the shortest player , in inches?",shortest=77.75-9.5,Subtraction,68.25
720,"A lawyer bills her clients 200 dollars per hour of service. If a client 's case requires 39 hours to complete , use proportion to calculate how much the client will owe the lawyer in dollars.",200.0*39.0=bill,Multiplication,7800.0
721,It took me 6 minutes to walk 500 meters. How fast was I travelling?,speed=500.0/6.0,Division,83.33
722,The sum of 5 and a number is 20. Find the number.,5.0+number=20.0,Addition,15.0
723,"A textbook costs a bookstore 44 dollars , and the store sells it for 55 dollars. Find the amount of profit based on the selling price.",profit=55.0-44.0,Subtraction,11.0
724,A plane is using fuel at the rate of 9.5 gallons per hour and it has 6.3333 gallons left in its tank. How long can the plane continue to fly?,9.5*hours=6.3333,Multiplication,0.6667
725,"0.4 of Joe 's income each month goes to taxes. If she pays 848 dollars in taxes each month , what is her monthly income in dollars?",0.4*income=848.0,Multiplication,2120.0
